"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.7.33",57918,"172.26.211.223",6002,36,3119,19,1746,17,1373,160.630453774,5.758671346,2425.5595016204975,1907.3844190864509
"192.168.7.33",57920,"172.26.211.223",6002,1342,1577207,1084,1559051,258,18156,160.718960079,5.642827442999987,2210311.785357217,25740.287376709053
"192.168.7.33",57922,"172.26.211.223",6002,38,3236,19,1727,19,1509,167.582895542,6.333269763000004,2181.4955808001937,1906.124395731032
"192.168.7.33",57924,"172.26.211.223",6002,1319,1479653,1013,1456669,306,22984,167.662421724,5.493197691999995,2121415.0033178907,33472.67116706568
"192.168.7.33",57926,"172.26.211.223",6002,36,2629,27,2001,9,628,174.608654509,100.99127955399999,158.50873531551335,49.74686945434402
"192.168.7.33",57928,"172.26.211.223",6002,1722,2242719,1550,2231023,172,11696,174.686823064,57.40494826099999,310917.1690017143,1629.9640158994555
"192.168.7.33",57930,"172.26.211.223",6002,23,1744,12,968,11,776,235.725430078,2.002398524,3867.3620196895426,3100.2819496684765
"192.168.7.33",57932,"172.26.211.223",6002,465,531463,374,525263,91,6200,236.435377975,92.328477147,45512.54531480743,537.2123697115655
"192.168.7.33",57934,"172.26.211.223",6002,24,1823,14,1127,10,696,237.648776732,6.991134182000025,1289.6333792610317,796.4372954442573
"192.168.7.33",57936,"172.26.211.223",6002,1442,1604125,1099,1580681,343,23444,238.799291924,5.8398452039999995,2165373.834110963,32115.919762999256
"192.168.7.33",57938,"172.26.211.223",6002,37,3229,19,1788,18,1441,244.682225904,6.656091583000006,2149.008892325511,1731.9473231773275
"192.168.7.33",57940,"172.26.211.223",6002,246,259539,180,255483,66,4056,245.161748208,5.499563548999987,371641.1278439806,5900.104564825
"192.168.7.33",57942,"172.26.211.223",6002,26,1920,13,1032,13,888,251.670639363,7.34529559500001,1123.9847182759959,967.1496413072523
"192.168.7.33",57944,"172.26.211.223",6002,418,427625,293,418429,125,9196,256.799395809,2.2694371450000403,1475005.3806843548,32416.84845164491
"192.168.7.33",57946,"172.26.211.223",6002,35,3025,18,1653,17,1372,258.693113663,6.465572071999986,2045.2946549414055,1697.606936829769
"192.168.7.33",57948,"172.26.211.223",6002,552,539212,369,526684,183,12528,259.121090703,5.860741012999995,718931.6147316343,17100.909215692736
"192.168.7.33",57950,"172.26.211.223",6002,23,1728,13,1032,10,696,270.78743801,2.4442087079999624,3377.780290601979,2278.037870405986
"192.168.7.33",57952,"172.26.211.223",6002,175,190805,133,187709,42,3096,271.066775902,3.9869218529999557,376649.4692816886,6212.311380360601
