,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-04-30T17:43:12.784,NULL,NULL,NULL
1,2021-04-30T17:43:24.063,NULL,NULL,NULL
2,2021-04-30T17:43:35.352,NULL,NULL,NULL
3,2021-04-30T17:43:46.638,NULL,NULL,NULL
4,2021-04-30T17:43:57.932,NULL,NULL,NULL
5,2021-04-30T17:44:08.723,NULL,NULL,NULL
6,2021-04-30T17:44:19.504,NULL,NULL,NULL
7,2021-04-30T17:44:30.286,NULL,NULL,NULL
8,2021-04-30T17:44:40.454,NULL,NULL,NULL
9,2021-04-30T17:44:51.732,NULL,NULL,NULL
10,2021-04-30T17:45:03.007,NULL,NULL,NULL
11,2021-04-30T17:45:13.788,NULL,NULL,NULL
12,2021-04-30T17:45:24.578,NULL,NULL,NULL
13,2021-04-30T17:45:34.745,NULL,NULL,NULL
14,2021-04-30T17:45:45.521,NULL,NULL,-77
15,2021-04-30T17:45:56.484,NULL,NULL,-78
16,2021-04-30T17:46:08.142,NULL,NULL,-75
17,2021-04-30T17:46:19.170,NULL,NULL,-68
18,2021-04-30T18:38:41.719,NULL,NULL,-69
19,2021-04-30T18:38:52.662,NULL,NULL,-57
20,2021-04-30T18:39:03.609,NULL,NULL,-59
21,2021-04-30T18:39:14.564,NULL,NULL,-65
22,2021-04-30T18:39:25.551,NULL,NULL,-73
23,2021-04-30T18:39:36.535,NULL,NULL,-79
24,2021-04-30T18:39:47.510,NULL,NULL,-87
25,2021-04-30T18:39:58.851,NULL,NULL,-87
26,2021-04-30T18:40:09.792,NULL,-82,-87
27,2021-04-30T18:40:20.739,NULL,-69,-87
28,2021-04-30T18:40:31.679,NULL,-74,NULL
29,2021-04-30T18:40:42.630,-88,-64,NULL
30,2021-04-30T18:40:53.570,-91,-22,NULL
31,2021-04-30T18:41:04.508,-86,-16,NULL
32,2021-04-30T18:41:15.448,-88,-16,NULL
33,2021-04-30T18:41:26.392,-79,-16,NULL
34,2021-04-30T18:41:37.335,-93,NULL,NULL
35,2021-04-30T18:41:48.277,-88,-50,NULL
36,2021-04-30T18:41:59.211,-88,-51,NULL
37,2021-04-30T18:42:10.152,-93,-57,NULL
38,2021-04-30T18:42:21.095,-93,-59,NULL
39,2021-04-30T18:42:32.036,-93,-44,NULL
40,2021-04-30T18:42:42.971,NULL,-43,NULL
41,2021-04-30T18:42:53.904,NULL,-25,NULL
42,2021-04-30T18:43:05.057,NULL,-59,NULL
43,2021-04-30T18:43:15.996,NULL,-68,NULL
44,2021-04-30T18:43:26.933,-90,-68,NULL
45,2021-04-30T18:43:37.863,-90,-73,NULL
46,2021-04-30T18:43:48.792,-78,-73,NULL
47,2021-04-30T18:43:59.733,-83,-75,NULL
48,2021-04-30T18:44:10.662,-83,-82,NULL
49,2021-04-30T18:44:21.603,-88,-77,NULL
50,2021-04-30T18:44:32.547,-88,-73,NULL
51,2021-04-30T18:44:43.496,-72,-73,NULL
52,2021-04-30T18:44:54.456,-59,-84,NULL
53,2021-04-30T18:45:05.411,-55,-75,NULL
54,2021-04-30T18:45:16.364,-53,-80,NULL
55,2021-04-30T18:45:27.382,-65,-80,NULL
56,2021-04-30T18:45:38.323,-78,-80,NULL
57,2021-04-30T18:45:49.262,-65,NULL,NULL
58,2021-04-30T18:46:00.208,-58,-86,NULL
59,2021-04-30T18:46:11.155,-57,-86,NULL
60,2021-04-30T18:46:22.200,-75,-71,NULL
61,2021-04-30T18:46:33.147,-75,-82,NULL
62,2021-04-30T18:46:44.082,-75,-82,NULL
63,2021-04-30T18:46:55.011,-83,-72,NULL
64,2021-04-30T18:47:06.124,-83,-68,NULL
65,2021-04-30T18:47:17.052,-83,-61,NULL
66,2021-04-30T18:47:27.979,-83,-60,NULL
67,2021-04-30T18:47:38.926,-83,-61,NULL
68,2021-04-30T18:47:49.898,NULL,-67,NULL
69,2021-04-30T18:48:00.835,NULL,-82,NULL
70,2021-04-30T18:48:11.793,NULL,-82,NULL
71,2021-04-30T18:48:22.737,NULL,-91,-81
72,2021-04-30T18:48:33.675,NULL,-91,-81
73,2021-04-30T18:48:44.619,NULL,-91,-84
74,2021-04-30T18:48:55.565,NULL,-91,-70
75,2021-04-30T18:49:06.516,NULL,-91,-77
76,2021-04-30T18:49:17.454,NULL,NULL,-65
77,2021-04-30T18:49:28.405,NULL,NULL,-42
78,2021-04-30T18:49:39.367,NULL,NULL,-40
79,2021-04-30T18:49:50.314,NULL,NULL,-26
80,2021-04-30T18:50:01.252,NULL,NULL,-26
81,2021-04-30T18:50:12.183,NULL,NULL,-27
82,2021-04-30T18:50:22.953,NULL,NULL,-27
83,2021-04-30T18:50:33.706,NULL,NULL,-27
84,2021-04-30T18:50:44.488,NULL,NULL,-44
85,2021-04-30T18:50:55.439,NULL,NULL,-58
86,2021-04-30T18:51:06.387,NULL,NULL,-50
87,2021-04-30T18:51:17.330,NULL,NULL,-48
88,2021-04-30T18:51:28.283,NULL,NULL,-7
89,2021-04-30T18:51:39.223,NULL,NULL,-63
90,2021-04-30T18:51:50.158,NULL,NULL,-65
91,2021-04-30T18:52:01.097,NULL,NULL,-68
92,2021-04-30T18:52:12.042,NULL,NULL,-74
93,2021-04-30T18:52:23.017,NULL,NULL,-75
94,2021-04-30T18:52:33.966,NULL,NULL,-70
95,2021-04-30T18:52:44.933,NULL,NULL,-82
96,2021-04-30T18:52:55.870,NULL,NULL,-90
97,2021-04-30T18:53:06.809,NULL,NULL,-90
98,2021-04-30T18:53:17.748,NULL,NULL,-78
