,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-04-30T17:43:09.813,NULL,NULL
1,NULL,2021-04-30T17:43:10.943,NULL,NULL
2,NULL,2021-04-30T17:43:12.067,NULL,NULL
3,NULL,2021-04-30T17:43:13.189,NULL,NULL
4,NULL,2021-04-30T17:43:14.311,NULL,NULL
5,NULL,2021-04-30T17:43:15.432,NULL,NULL
6,NULL,2021-04-30T17:43:16.553,NULL,NULL
7,NULL,2021-04-30T17:43:17.674,NULL,NULL
8,NULL,2021-04-30T17:43:18.796,NULL,NULL
9,NULL,2021-04-30T17:43:19.916,NULL,NULL
10,NULL,2021-04-30T17:43:21.037,NULL,NULL
11,NULL,2021-04-30T17:43:22.159,NULL,NULL
12,NULL,2021-04-30T17:43:23.281,NULL,NULL
13,NULL,2021-04-30T17:43:24.403,NULL,NULL
14,NULL,2021-04-30T17:43:25.524,NULL,NULL
15,NULL,2021-04-30T17:43:26.655,NULL,NULL
16,NULL,2021-04-30T17:43:27.776,NULL,NULL
17,NULL,2021-04-30T17:43:28.898,NULL,NULL
18,NULL,2021-04-30T17:43:30.020,NULL,NULL
19,NULL,2021-04-30T17:43:31.141,NULL,NULL
20,NULL,2021-04-30T17:43:32.263,NULL,NULL
21,NULL,2021-04-30T17:43:33.384,NULL,NULL
22,NULL,2021-04-30T17:43:34.504,NULL,NULL
23,NULL,2021-04-30T17:43:35.625,NULL,NULL
24,NULL,2021-04-30T17:43:36.747,NULL,NULL
25,NULL,2021-04-30T17:43:37.867,NULL,NULL
26,NULL,2021-04-30T17:43:38.997,NULL,NULL
27,NULL,2021-04-30T17:43:40.117,NULL,NULL
28,NULL,2021-04-30T17:43:41.237,NULL,NULL
29,NULL,2021-04-30T17:43:42.357,NULL,NULL
30,NULL,2021-04-30T17:43:43.479,NULL,NULL
31,NULL,2021-04-30T17:43:44.589,NULL,NULL
32,NULL,2021-04-30T17:43:45.712,NULL,NULL
33,NULL,2021-04-30T17:43:46.832,NULL,NULL
34,NULL,2021-04-30T17:43:47.953,NULL,NULL
35,NULL,2021-04-30T17:43:49.074,NULL,NULL
36,NULL,2021-04-30T17:43:50.194,NULL,NULL
37,NULL,2021-04-30T17:43:51.316,NULL,NULL
38,NULL,2021-04-30T17:43:52.437,NULL,NULL
39,NULL,2021-04-30T17:43:53.559,NULL,NULL
40,NULL,2021-04-30T17:43:54.689,NULL,NULL
41,NULL,2021-04-30T17:43:55.811,NULL,NULL
42,NULL,2021-04-30T17:43:56.932,NULL,NULL
43,NULL,2021-04-30T17:43:58.053,NULL,NULL
44,NULL,2021-04-30T17:43:59.174,NULL,NULL
