,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-05-02T02:34:33.683,NULL,NULL
1,NULL,2021-05-02T02:34:34.781,NULL,NULL
2,NULL,2021-05-02T02:34:35.879,NULL,NULL
3,NULL,2021-05-02T02:34:36.983,NULL,NULL
4,NULL,2021-05-02T02:34:38.081,NULL,NULL
5,NULL,2021-05-02T02:34:39.178,NULL,NULL
6,NULL,2021-05-02T02:34:40.276,NULL,NULL
7,NULL,2021-05-02T02:34:41.373,NULL,NULL
8,NULL,2021-05-02T02:34:42.471,NULL,NULL
9,NULL,2021-05-02T02:34:43.571,NULL,NULL
10,NULL,2021-05-02T02:34:44.678,NULL,NULL
11,NULL,2021-05-02T02:34:45.777,NULL,NULL
12,NULL,2021-05-02T02:34:46.874,NULL,NULL
13,NULL,2021-05-02T02:34:47.984,NULL,NULL
14,NULL,2021-05-02T02:34:49.082,NULL,NULL
15,NULL,2021-05-02T02:34:50.187,NULL,NULL
16,NULL,2021-05-02T02:34:51.290,NULL,NULL
17,NULL,2021-05-02T02:34:52.388,NULL,NULL
18,NULL,2021-05-02T02:34:53.487,NULL,NULL
19,NULL,2021-05-02T02:34:54.589,NULL,NULL
20,NULL,2021-05-02T02:34:55.705,NULL,NULL
21,NULL,2021-05-02T02:34:56.801,NULL,NULL
22,NULL,2021-05-02T02:34:57.899,NULL,NULL
23,NULL,2021-05-02T02:34:59.012,NULL,NULL
24,NULL,2021-05-02T02:35:00.109,NULL,NULL
25,NULL,2021-05-02T02:35:01.214,NULL,NULL
26,NULL,2021-05-02T02:35:02.311,NULL,NULL
27,NULL,2021-05-02T02:35:03.408,NULL,NULL
28,NULL,2021-05-02T02:35:04.505,NULL,NULL
29,NULL,2021-05-02T02:35:05.601,NULL,NULL
30,NULL,2021-05-02T02:35:06.698,NULL,NULL
31,NULL,2021-05-02T02:35:07.795,NULL,NULL
32,NULL,2021-05-02T02:35:08.891,NULL,NULL
33,NULL,2021-05-02T02:35:09.987,NULL,NULL
34,NULL,2021-05-02T02:35:11.084,NULL,NULL
35,NULL,2021-05-02T02:35:12.187,NULL,NULL
36,NULL,2021-05-02T02:35:13.284,NULL,NULL
37,NULL,2021-05-02T02:35:14.381,NULL,NULL
38,NULL,2021-05-02T02:35:15.477,NULL,NULL
39,NULL,2021-05-02T02:35:16.573,NULL,NULL
40,NULL,2021-05-02T02:35:17.670,NULL,NULL
41,NULL,2021-05-02T02:35:18.766,NULL,NULL
42,NULL,2021-05-02T02:35:19.862,NULL,NULL
43,NULL,2021-05-02T02:35:20.958,NULL,NULL
44,NULL,2021-05-02T02:35:22.055,NULL,NULL
45,NULL,2021-05-02T02:35:23.151,NULL,NULL
46,NULL,2021-05-02T02:35:24.248,NULL,NULL
47,NULL,2021-05-02T02:35:25.346,NULL,NULL
48,NULL,2021-05-02T02:35:26.444,NULL,NULL
49,B8:27:EB:CC:AA:D5,2021-05-02T02:35:27.547,65,-92
50,B8:27:EB:CC:AA:D5,2021-05-02T02:35:28.649,58.5,-89
51,B8:27:EB:CC:AA:D5,2021-05-02T02:35:29.751,52,-90
52,B8:27:EB:CC:AA:D5,2021-05-02T02:35:30.854,39,-90
53,B8:27:EB:CC:AA:D5,2021-05-02T02:35:31.956,39,-89
54,B8:27:EB:CC:AA:D5,2021-05-02T02:35:33.064,26,-89
