,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-05-05T17:44:23.762,NULL,NULL,NULL
1,2021-05-05T17:44:36.792,NULL,NULL,NULL
2,2021-05-05T17:44:49.814,NULL,NULL,NULL
3,2021-05-05T17:45:02.891,NULL,NULL,NULL
4,2021-05-05T17:45:15.976,NULL,NULL,NULL
5,2021-05-05T17:45:29.055,NULL,NULL,NULL
6,2021-05-05T17:45:42.080,NULL,NULL,NULL
7,2021-05-05T17:45:55.101,NULL,NULL,NULL
8,2021-05-05T17:46:08.122,NULL,NULL,NULL
9,2021-05-05T17:46:21.151,NULL,NULL,NULL
10,2021-05-05T17:46:31.322,NULL,NULL,NULL
11,2021-05-05T17:46:44.346,NULL,NULL,NULL
12,2021-05-05T17:46:57.370,NULL,NULL,NULL
13,2021-05-05T17:47:10.389,NULL,NULL,NULL
14,2021-05-05T17:47:23.408,NULL,NULL,NULL
15,2021-05-05T17:47:36.429,NULL,NULL,NULL
16,2021-05-05T17:47:49.456,NULL,NULL,NULL
17,2021-05-05T17:48:02.492,NULL,NULL,NULL
18,2021-05-05T17:48:15.519,NULL,NULL,NULL
19,2021-05-05T17:48:28.541,NULL,NULL,NULL
20,2021-05-05T17:48:41.562,NULL,NULL,NULL
21,2021-05-05T17:48:54.602,NULL,NULL,NULL
22,2021-05-05T17:49:07.623,NULL,NULL,NULL
23,2021-05-05T17:49:20.644,NULL,NULL,NULL
24,2021-05-05T17:49:30.780,NULL,NULL,NULL
25,2021-05-05T17:49:43.805,NULL,NULL,NULL
26,2021-05-05T17:49:56.826,NULL,NULL,NULL
27,2021-05-05T17:50:09.851,NULL,NULL,NULL
28,2021-05-05T17:50:22.903,NULL,NULL,NULL
29,2021-05-05T17:50:35.927,NULL,NULL,NULL
30,2021-05-05T17:50:48.968,NULL,NULL,NULL
31,2021-05-05T17:51:01.998,NULL,NULL,NULL
32,2021-05-05T17:51:15.020,NULL,NULL,NULL
33,2021-05-05T18:08:53.016,NULL,NULL,NULL
34,2021-05-05T18:09:03.296,NULL,NULL,NULL
35,2021-05-05T18:09:19.268,NULL,NULL,NULL
36,2021-05-05T18:09:35.230,NULL,NULL,NULL
37,2021-05-05T18:09:51.164,NULL,NULL,NULL
38,2021-05-05T18:10:07.126,NULL,NULL,NULL
39,2021-05-05T18:10:23.097,NULL,NULL,NULL
40,2021-05-05T18:10:39.066,NULL,NULL,NULL
41,2021-05-05T18:10:55.035,NULL,NULL,NULL
42,2021-05-05T18:11:09.576,NULL,NULL,NULL
43,2021-05-05T18:11:24.221,NULL,NULL,NULL
44,2021-05-05T18:11:38.895,NULL,NULL,NULL
45,2021-05-05T18:11:53.436,NULL,NULL,NULL
46,2021-05-05T18:12:08.087,NULL,NULL,NULL
47,2021-05-05T18:12:22.528,NULL,NULL,NULL
48,2021-05-05T18:12:37.075,NULL,NULL,NULL
49,2021-05-05T18:12:51.649,NULL,NULL,NULL
50,2021-05-05T18:13:06.343,NULL,NULL,NULL
51,2021-05-05T18:13:16.646,NULL,NULL,NULL
52,2021-05-05T18:13:31.340,NULL,NULL,NULL
53,2021-05-05T18:13:45.947,-57,NULL,NULL
54,2021-05-05T18:14:00.552,-69,NULL,NULL
55,2021-05-05T18:14:15.156,-64,NULL,NULL
56,2021-05-05T18:14:29.712,NULL,NULL,NULL
57,2021-05-05T18:14:44.395,NULL,NULL,NULL
58,2021-05-05T18:14:59.041,-61,NULL,NULL
59,2021-05-05T18:15:13.546,-59,NULL,NULL
60,2021-05-05T18:15:28.163,-49,NULL,NULL
61,2021-05-05T18:15:42.640,NULL,NULL,NULL
62,2021-05-05T18:15:57.087,NULL,NULL,NULL
63,2021-05-05T18:16:11.687,NULL,NULL,NULL
64,2021-05-05T18:16:26.346,NULL,NULL,NULL
65,2021-05-05T18:16:40.793,NULL,NULL,NULL
66,2021-05-05T18:16:55.249,NULL,NULL,NULL
67,2021-05-05T18:17:09.788,NULL,NULL,NULL
68,2021-05-05T18:17:24.258,NULL,NULL,NULL
69,2021-05-05T18:17:38.803,NULL,NULL,NULL
70,2021-05-05T18:17:53.569,NULL,NULL,NULL
71,2021-05-05T18:18:08.248,NULL,NULL,NULL
72,2021-05-05T18:18:18.529,NULL,NULL,NULL
73,2021-05-05T18:18:33.067,NULL,NULL,NULL
74,2021-05-05T18:18:50.508,NULL,-69,NULL
75,2021-05-05T18:19:00.806,NULL,NULL,NULL
76,2021-05-05T18:19:11.083,NULL,NULL,NULL
77,2021-05-05T18:19:24.241,NULL,NULL,NULL
78,2021-05-05T18:19:34.533,NULL,NULL,NULL
