,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-05-05T19:08:57.338,NULL,NULL,NULL
1,2021-05-05T19:09:13.303,NULL,NULL,NULL
2,2021-05-05T19:09:23.541,NULL,NULL,NULL
3,2021-05-05T19:09:36.675,NULL,NULL,NULL
4,2021-05-05T19:09:46.875,NULL,NULL,NULL
5,2021-05-05T19:10:01.231,NULL,NULL,NULL
6,2021-05-05T19:10:15.664,NULL,NULL,NULL
7,2021-05-05T19:10:30.112,NULL,NULL,NULL
8,2021-05-05T19:10:44.547,NULL,NULL,NULL
9,2021-05-05T19:10:58.983,NULL,NULL,NULL
10,2021-05-05T19:11:13.426,NULL,NULL,NULL
11,2021-05-05T19:11:27.879,NULL,NULL,NULL
12,2021-05-05T19:11:42.354,NULL,NULL,NULL
13,2021-05-05T19:11:56.796,NULL,NULL,NULL
14,2021-05-05T19:12:11.238,NULL,NULL,NULL
15,2021-05-05T19:12:25.709,NULL,NULL,NULL
16,2021-05-05T19:12:40.148,NULL,NULL,NULL
17,2021-05-05T19:12:54.664,NULL,-44,NULL
18,2021-05-05T19:13:09.195,NULL,-45,NULL
19,2021-05-05T19:13:23.657,NULL,NULL,NULL
20,2021-05-05T19:13:38.114,NULL,NULL,NULL
21,2021-05-05T19:13:52.578,NULL,NULL,NULL
22,2021-05-05T19:14:07.074,NULL,-30,NULL
23,2021-05-05T19:14:17.393,NULL,NULL,NULL
24,2021-05-05T19:14:40.377,NULL,-31,NULL
25,2021-05-05T19:14:55.000,NULL,-62,NULL
26,2021-05-05T19:15:09.654,NULL,NULL,NULL
27,2021-05-05T19:15:19.935,NULL,NULL,NULL
28,2021-05-05T19:15:30.210,NULL,NULL,NULL
29,2021-05-05T19:15:43.363,NULL,NULL,NULL
30,2021-05-05T19:15:56.545,NULL,NULL,NULL
31,2021-05-05T19:16:09.734,NULL,NULL,NULL
32,2021-05-05T19:16:24.173,NULL,NULL,NULL
33,2021-05-05T19:16:38.745,NULL,NULL,NULL
34,2021-05-05T19:16:53.306,NULL,NULL,NULL
35,2021-05-05T19:17:07.861,NULL,NULL,NULL
36,2021-05-05T19:17:18.151,NULL,NULL,NULL
37,2021-05-05T19:17:33.019,-55,NULL,NULL
38,2021-05-05T19:17:47.531,-64,NULL,NULL
39,2021-05-05T19:18:02.253,-54,NULL,NULL
40,2021-05-05T19:18:21.088,-38,NULL,NULL
41,2021-05-05T19:18:35.715,-53,NULL,NULL
42,2021-05-05T19:18:50.276,NULL,NULL,NULL
43,2021-05-05T19:19:04.915,NULL,NULL,NULL
44,2021-05-05T19:19:15.188,NULL,NULL,NULL
45,2021-05-05T19:19:29.622,NULL,NULL,NULL
46,2021-05-05T19:19:44.159,NULL,NULL,NULL
47,2021-05-05T19:19:54.428,NULL,NULL,NULL
48,2021-05-05T19:20:08.869,NULL,NULL,NULL
49,2021-05-05T19:20:23.729,NULL,NULL,NULL
50,2021-05-05T19:20:38.169,NULL,NULL,NULL
51,2021-05-05T19:20:52.839,NULL,NULL,NULL
52,2021-05-05T19:21:07.372,NULL,NULL,NULL
53,2021-05-05T19:21:17.675,NULL,NULL,NULL
54,2021-05-05T19:21:32.106,NULL,NULL,NULL
55,2021-05-05T19:21:42.387,NULL,NULL,NULL
56,2021-05-05T19:21:55.553,NULL,NULL,NULL
57,2021-05-05T19:22:08.733,NULL,NULL,NULL
58,2021-05-05T19:22:21.912,NULL,NULL,NULL
59,2021-05-05T19:22:32.191,NULL,NULL,NULL
60,2021-05-05T19:22:45.403,NULL,NULL,NULL
