,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-05-05T19:44:12.930,NULL,NULL,NULL
1,2021-05-05T19:44:23.244,NULL,NULL,NULL
2,2021-05-05T19:44:36.416,NULL,NULL,NULL
3,2021-05-05T19:44:46.695,NULL,NULL,NULL
4,2021-05-05T19:44:59.867,NULL,NULL,NULL
5,2021-05-05T19:45:10.143,NULL,NULL,NULL
6,2021-05-05T19:45:26.118,NULL,NULL,NULL
7,2021-05-05T19:45:42.115,NULL,NULL,NULL
8,2021-05-05T19:45:55.272,NULL,NULL,NULL
9,2021-05-05T19:46:05.555,NULL,NULL,NULL
10,2021-05-05T19:46:15.841,NULL,NULL,NULL
11,2021-05-05T19:46:30.472,NULL,NULL,NULL
12,2021-05-05T19:46:44.913,NULL,NULL,NULL
13,2021-05-05T19:46:59.520,NULL,-80,NULL
14,2021-05-05T19:47:14.022,NULL,-76,NULL
15,2021-05-05T19:47:28.581,NULL,NULL,NULL
16,2021-05-05T19:47:43.162,NULL,NULL,NULL
17,2021-05-05T19:47:57.731,NULL,NULL,NULL
18,2021-05-05T19:48:12.300,NULL,NULL,NULL
19,2021-05-05T19:48:26.974,NULL,NULL,NULL
20,2021-05-05T19:48:37.258,NULL,NULL,NULL
21,2021-05-05T19:48:51.699,NULL,NULL,NULL
22,2021-05-05T19:49:06.305,NULL,NULL,NULL
23,2021-05-05T19:49:16.590,NULL,NULL,NULL
24,2021-05-05T19:49:31.147,NULL,NULL,NULL
25,2021-05-05T19:49:45.847,-33,NULL,NULL
26,2021-05-05T19:50:00.506,NULL,NULL,NULL
27,2021-05-05T19:50:19.360,NULL,NULL,NULL
28,2021-05-05T19:50:34.017,NULL,NULL,NULL
29,2021-05-05T19:50:48.479,NULL,NULL,NULL
30,2021-05-05T19:51:02.936,NULL,NULL,NULL
31,2021-05-05T19:51:17.476,NULL,NULL,NULL
32,2021-05-05T19:51:27.813,NULL,NULL,NULL
33,2021-05-05T19:51:40.978,NULL,NULL,NULL
34,2021-05-05T19:51:54.138,NULL,NULL,NULL
35,2021-05-05T19:52:07.299,NULL,NULL,NULL
