,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-05-05T19:44:04.470,NULL,NULL
1,NULL,2021-05-05T19:44:05.725,NULL,NULL
2,NULL,2021-05-05T19:44:06.973,NULL,NULL
3,NULL,2021-05-05T19:44:08.216,NULL,NULL
4,NULL,2021-05-05T19:44:09.454,NULL,NULL
5,NULL,2021-05-05T19:44:10.697,NULL,NULL
6,NULL,2021-05-05T19:44:11.932,NULL,NULL
7,NULL,2021-05-05T19:44:13.171,NULL,NULL
8,NULL,2021-05-05T19:44:14.411,NULL,NULL
9,NULL,2021-05-05T19:44:15.646,NULL,NULL
10,NULL,2021-05-05T19:44:16.881,NULL,NULL
11,NULL,2021-05-05T19:44:18.122,NULL,NULL
12,NULL,2021-05-05T19:44:19.361,NULL,NULL
13,NULL,2021-05-05T19:44:20.601,NULL,NULL
14,NULL,2021-05-05T19:44:21.836,NULL,NULL
15,NULL,2021-05-05T19:44:23.074,NULL,NULL
16,NULL,2021-05-05T19:44:24.316,NULL,NULL
17,NULL,2021-05-05T19:44:25.566,NULL,NULL
18,NULL,2021-05-05T19:44:26.807,NULL,NULL
19,NULL,2021-05-05T19:44:28.047,NULL,NULL
20,NULL,2021-05-05T19:44:29.306,NULL,NULL
21,NULL,2021-05-05T19:44:30.547,NULL,NULL
22,NULL,2021-05-05T19:44:31.788,NULL,NULL
23,NULL,2021-05-05T19:44:33.052,NULL,NULL
24,NULL,2021-05-05T19:44:34.294,NULL,NULL
25,NULL,2021-05-05T19:44:35.532,NULL,NULL
26,NULL,2021-05-05T19:44:36.774,NULL,NULL
27,NULL,2021-05-05T19:44:38.014,NULL,NULL
28,NULL,2021-05-05T19:44:39.256,NULL,NULL
29,NULL,2021-05-05T19:44:40.495,NULL,NULL
30,NULL,2021-05-05T19:44:41.738,NULL,NULL
31,NULL,2021-05-05T19:44:42.980,NULL,NULL
32,NULL,2021-05-05T19:44:44.223,NULL,NULL
33,NULL,2021-05-05T19:44:45.472,NULL,NULL
34,NULL,2021-05-05T19:44:46.715,NULL,NULL
35,NULL,2021-05-05T19:44:47.954,NULL,NULL
36,NULL,2021-05-05T19:44:49.197,NULL,NULL
37,NULL,2021-05-05T19:44:50.439,NULL,NULL
38,NULL,2021-05-05T19:44:51.686,NULL,NULL
39,NULL,2021-05-05T19:44:52.927,NULL,NULL
40,NULL,2021-05-05T19:44:54.167,NULL,NULL
41,NULL,2021-05-05T19:44:55.406,NULL,NULL
42,NULL,2021-05-05T19:44:56.641,NULL,NULL
43,NULL,2021-05-05T19:44:57.761,NULL,NULL
44,NULL,2021-05-05T19:44:58.999,NULL,NULL
45,NULL,2021-05-05T19:45:00.240,NULL,NULL
46,NULL,2021-05-05T19:45:01.481,NULL,NULL
47,NULL,2021-05-05T19:45:02.720,NULL,NULL
48,NULL,2021-05-05T19:45:03.958,NULL,NULL
49,NULL,2021-05-05T19:45:05.199,NULL,NULL
50,NULL,2021-05-05T19:45:06.440,NULL,NULL
51,NULL,2021-05-05T19:45:07.689,NULL,NULL
52,NULL,2021-05-05T19:45:08.930,NULL,NULL
53,NULL,2021-05-05T19:45:10.168,NULL,NULL
54,NULL,2021-05-05T19:45:11.405,NULL,NULL
55,NULL,2021-05-05T19:45:12.646,NULL,NULL
56,NULL,2021-05-05T19:45:13.888,NULL,NULL
57,NULL,2021-05-05T19:45:15.126,NULL,NULL
58,NULL,2021-05-05T19:45:16.362,NULL,NULL
59,NULL,2021-05-05T19:45:17.604,NULL,NULL
60,NULL,2021-05-05T19:45:18.841,NULL,NULL
61,NULL,2021-05-05T19:45:20.082,NULL,NULL
62,NULL,2021-05-05T19:45:21.320,NULL,NULL
63,NULL,2021-05-05T19:45:22.560,NULL,NULL
64,NULL,2021-05-05T19:45:23.798,NULL,NULL
65,NULL,2021-05-05T19:45:25.038,NULL,NULL
66,NULL,2021-05-05T19:45:26.279,NULL,NULL
67,NULL,2021-05-05T19:45:27.528,NULL,NULL
68,NULL,2021-05-05T19:45:28.769,NULL,NULL
69,NULL,2021-05-05T19:45:30.011,NULL,NULL
70,NULL,2021-05-05T19:45:31.248,NULL,NULL
71,NULL,2021-05-05T19:45:32.484,NULL,NULL
72,NULL,2021-05-05T19:45:33.722,NULL,NULL
73,NULL,2021-05-05T19:45:34.963,NULL,NULL
74,NULL,2021-05-05T19:45:36.205,NULL,NULL
75,NULL,2021-05-05T19:45:37.448,NULL,NULL
76,NULL,2021-05-05T19:45:38.683,NULL,NULL
77,NULL,2021-05-05T19:45:39.921,NULL,NULL
78,NULL,2021-05-05T19:45:41.157,NULL,NULL
79,NULL,2021-05-05T19:45:42.393,NULL,NULL
80,NULL,2021-05-05T19:45:43.629,NULL,NULL
81,NULL,2021-05-05T19:45:44.864,NULL,NULL
82,NULL,2021-05-05T19:45:46.104,NULL,NULL
83,NULL,2021-05-05T19:45:47.339,NULL,NULL
84,NULL,2021-05-05T19:45:48.582,NULL,NULL
85,NULL,2021-05-05T19:45:49.821,NULL,NULL
86,NULL,2021-05-05T19:45:51.061,NULL,NULL
87,NULL,2021-05-05T19:45:52.300,NULL,NULL
88,NULL,2021-05-05T19:45:53.543,NULL,NULL
89,NULL,2021-05-05T19:45:54.778,NULL,NULL
90,NULL,2021-05-05T19:45:56.014,NULL,NULL
91,NULL,2021-05-05T19:45:57.250,NULL,NULL
92,NULL,2021-05-05T19:45:58.491,NULL,NULL
93,NULL,2021-05-05T19:45:59.731,NULL,NULL
94,NULL,2021-05-05T19:46:00.971,NULL,NULL
95,NULL,2021-05-05T19:46:02.212,NULL,NULL
96,NULL,2021-05-05T19:46:03.457,NULL,NULL
97,NULL,2021-05-05T19:46:04.698,NULL,NULL
98,NULL,2021-05-05T19:46:05.936,NULL,NULL
99,NULL,2021-05-05T19:46:07.172,NULL,NULL
100,NULL,2021-05-05T19:46:08.407,NULL,NULL
101,NULL,2021-05-05T19:46:09.643,NULL,NULL
102,NULL,2021-05-05T19:46:10.879,NULL,NULL
103,B8:27:EB:75:C1:31,2021-05-05T19:46:12.119,52,-69
104,B8:27:EB:75:C1:31,2021-05-05T19:46:13.362,24,-73
105,B8:27:EB:75:C1:31,2021-05-05T19:46:14.601,24,-74
106,B8:27:EB:75:C1:31,2021-05-05T19:46:15.848,24,-75
107,B8:27:EB:75:C1:31,2021-05-05T19:46:17.092,24,-76
108,B8:27:EB:75:C1:31,2021-05-05T19:46:18.333,26,-76
109,B8:27:EB:75:C1:31,2021-05-05T19:46:19.595,19.5,-77
110,B8:27:EB:75:C1:31,2021-05-05T19:46:20.841,19.5,-77
111,B8:27:EB:75:C1:31,2021-05-05T19:46:22.083,19.5,-77
112,B8:27:EB:75:C1:31,2021-05-05T19:46:23.336,19.5,-77
113,B8:27:EB:75:C1:31,2021-05-05T19:46:24.596,12,-73
114,B8:27:EB:75:C1:31,2021-05-05T19:46:25.845,12,-73
115,B8:27:EB:75:C1:31,2021-05-05T19:46:27.755,24,-74
116,B8:27:EB:75:C1:31,2021-05-05T19:46:29.004,13,-74
117,B8:27:EB:75:C1:31,2021-05-05T19:46:30.246,12,-74
118,B8:27:EB:75:C1:31,2021-05-05T19:46:31.495,13,-78
119,B8:27:EB:75:C1:31,2021-05-05T19:46:32.740,7.2,-78
120,B8:27:EB:75:C1:31,2021-05-05T19:46:33.993,7.2,-78
121,B8:27:EB:75:C1:31,2021-05-05T19:46:35.240,14.4,-77
122,B8:27:EB:75:C1:31,2021-05-05T19:46:36.487,12,-77
123,B8:27:EB:75:C1:31,2021-05-05T19:46:37.732,12,-77
124,B8:27:EB:75:C1:31,2021-05-05T19:46:38.980,6,-78
125,B8:27:EB:75:C1:31,2021-05-05T19:46:40.221,6,-78
126,B8:27:EB:75:C1:31,2021-05-05T19:46:41.462,6,-78
127,B8:27:EB:75:C1:31,2021-05-05T19:46:42.703,6,-77
128,B8:27:EB:75:C1:31,2021-05-05T19:46:43.946,6,-77
129,B8:27:EB:75:C1:31,2021-05-05T19:46:45.191,6.5,-79
130,B8:27:EB:75:C1:31,2021-05-05T19:46:46.431,6.5,-76
131,B8:27:EB:75:C1:31,2021-05-05T19:46:47.671,6.5,-76
132,B8:27:EB:75:C1:31,2021-05-05T19:46:48.914,6,-76
133,B8:27:EB:75:C1:31,2021-05-05T19:46:51.059,6.5,-77
134,B8:27:EB:75:C1:31,2021-05-05T19:46:52.304,7.2,-74
135,B8:27:EB:75:C1:31,2021-05-05T19:46:53.547,7.2,-74
136,B8:27:EB:75:C1:31,2021-05-05T19:46:54.789,6,-74
137,B8:27:EB:75:C1:31,2021-05-05T19:46:56.031,6,-74
138,B8:27:EB:75:C1:31,2021-05-05T19:46:57.269,6,-74
139,B8:27:EB:75:C1:31,2021-05-05T19:46:58.522,6,-74
140,B8:27:EB:75:C1:31,2021-05-05T19:46:59.764,6,-74
141,B8:27:EB:75:C1:31,2021-05-05T19:47:01.003,6,-74
142,B8:27:EB:75:C1:31,2021-05-05T19:47:02.250,6,-74
143,B8:27:EB:75:C1:31,2021-05-05T19:47:03.490,7.2,-74
144,B8:27:EB:75:C1:31,2021-05-05T19:47:04.730,7.2,-75
145,B8:27:EB:75:C1:31,2021-05-05T19:47:05.971,7.2,-76
146,B8:27:EB:75:C1:31,2021-05-05T19:47:07.213,7.2,-76
147,B8:27:EB:75:C1:31,2021-05-05T19:47:08.456,6,-76
148,B8:27:EB:75:C1:31,2021-05-05T19:47:09.697,7.2,-77
149,B8:27:EB:75:C1:31,2021-05-05T19:47:10.944,6,-78
150,B8:27:EB:75:C1:31,2021-05-05T19:47:12.183,6,-78
151,B8:27:EB:75:C1:31,2021-05-05T19:47:13.427,6,-81
152,B8:27:EB:75:C1:31,2021-05-05T19:47:14.668,6,-81
