,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-05-05T19:57:33.095,NULL,NULL,NULL
1,2021-05-05T19:57:49.090,NULL,NULL,NULL
2,2021-05-05T19:58:05.096,NULL,NULL,NULL
3,2021-05-05T19:58:15.385,NULL,NULL,NULL
4,2021-05-05T19:58:28.548,NULL,NULL,NULL
5,2021-05-05T19:58:38.854,NULL,NULL,NULL
6,2021-05-05T19:58:53.308,NULL,NULL,NULL
7,2021-05-05T19:59:07.765,NULL,NULL,NULL
8,2021-05-05T19:59:18.057,NULL,NULL,NULL
9,2021-05-05T19:59:32.516,NULL,NULL,NULL
10,2021-05-05T19:59:46.968,NULL,NULL,NULL
11,2021-05-05T20:00:01.486,NULL,NULL,NULL
12,2021-05-05T20:00:15.941,NULL,NULL,NULL
13,2021-05-05T20:00:30.410,NULL,NULL,NULL
14,2021-05-05T20:00:44.979,NULL,NULL,NULL
15,2021-05-05T20:00:59.548,NULL,NULL,NULL
16,2021-05-05T20:01:13.997,NULL,NULL,NULL
17,2021-05-05T20:01:28.492,NULL,NULL,NULL
18,2021-05-05T20:01:43.071,NULL,NULL,NULL
19,2021-05-05T20:01:57.528,NULL,NULL,NULL
20,2021-05-05T20:02:12.098,NULL,NULL,NULL
21,2021-05-05T20:02:26.739,NULL,NULL,NULL
22,2021-05-05T20:02:41.317,NULL,NULL,NULL
23,2021-05-05T20:02:55.914,NULL,NULL,NULL
24,2021-05-05T20:03:10.470,NULL,NULL,NULL
25,2021-05-05T20:03:25.013,NULL,NULL,NULL
26,2021-05-05T20:03:39.581,NULL,NULL,NULL
27,2021-05-05T20:03:54.129,NULL,NULL,NULL
28,2021-05-05T20:04:08.640,NULL,NULL,NULL
29,2021-05-05T20:04:23.240,NULL,NULL,NULL
30,2021-05-05T20:04:37.924,NULL,NULL,NULL
31,2021-05-05T20:04:52.591,NULL,NULL,NULL
32,2021-05-05T20:05:07.241,NULL,NULL,NULL
33,2021-05-05T20:05:17.629,NULL,NULL,NULL
34,2021-05-05T20:05:32.298,NULL,NULL,NULL
35,2021-05-05T20:05:46.852,NULL,NULL,NULL
36,2021-05-05T20:06:01.437,NULL,NULL,NULL
37,2021-05-05T20:06:15.981,NULL,NULL,NULL
38,2021-05-05T20:06:30.645,NULL,NULL,NULL
39,2021-05-05T20:06:45.099,NULL,NULL,NULL
40,2021-05-05T20:06:59.679,NULL,NULL,NULL
41,2021-05-05T20:07:14.147,NULL,NULL,NULL
42,2021-05-05T20:07:28.755,NULL,NULL,NULL
43,2021-05-05T20:07:43.208,NULL,NULL,NULL
44,2021-05-05T20:07:57.558,NULL,NULL,NULL
45,2021-05-05T20:08:12.218,NULL,NULL,NULL
46,2021-05-05T20:08:26.895,NULL,NULL,NULL
47,2021-05-05T20:08:41.542,NULL,NULL,NULL
48,2021-05-05T20:08:56.192,NULL,NULL,NULL
49,2021-05-05T20:09:10.746,NULL,NULL,NULL
50,2021-05-05T20:09:25.395,NULL,NULL,NULL
51,2021-05-05T20:09:35.676,NULL,NULL,NULL
52,2021-05-05T20:09:45.961,NULL,NULL,NULL
53,2021-05-05T20:09:56.248,NULL,NULL,NULL
54,2021-05-05T20:10:12.420,NULL,NULL,NULL
55,2021-05-05T20:10:22.709,NULL,NULL,NULL
56,2021-05-05T20:10:35.939,NULL,NULL,NULL
57,2021-05-05T20:10:46.246,NULL,NULL,NULL
58,2021-05-05T20:10:56.551,NULL,NULL,NULL
59,2021-05-05T20:11:12.640,NULL,NULL,NULL
60,2021-05-05T20:11:23.001,NULL,NULL,NULL
