,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-05-05T19:57:30.215,NULL,NULL
1,NULL,2021-05-05T19:57:31.469,NULL,NULL
2,NULL,2021-05-05T19:57:32.718,NULL,NULL
3,NULL,2021-05-05T19:57:33.974,NULL,NULL
4,NULL,2021-05-05T19:57:36.034,NULL,NULL
5,NULL,2021-05-05T19:57:37.281,NULL,NULL
6,NULL,2021-05-05T19:57:38.523,NULL,NULL
7,NULL,2021-05-05T19:57:39.768,NULL,NULL
8,NULL,2021-05-05T19:57:41.024,NULL,NULL
9,NULL,2021-05-05T19:57:42.272,NULL,NULL
10,NULL,2021-05-05T19:57:43.515,NULL,NULL
11,NULL,2021-05-05T19:57:44.757,NULL,NULL
12,NULL,2021-05-05T19:57:46.002,NULL,NULL
13,NULL,2021-05-05T19:57:47.245,NULL,NULL
14,NULL,2021-05-05T19:57:48.488,NULL,NULL
15,NULL,2021-05-05T19:57:49.734,NULL,NULL
16,NULL,2021-05-05T19:57:50.981,NULL,NULL
17,NULL,2021-05-05T19:57:52.228,NULL,NULL
18,NULL,2021-05-05T19:57:53.475,NULL,NULL
19,NULL,2021-05-05T19:57:54.719,NULL,NULL
20,NULL,2021-05-05T19:57:55.963,NULL,NULL
21,NULL,2021-05-05T19:57:57.211,NULL,NULL
22,NULL,2021-05-05T19:57:58.461,NULL,NULL
23,NULL,2021-05-05T19:57:59.705,NULL,NULL
24,NULL,2021-05-05T19:58:00.956,NULL,NULL
25,NULL,2021-05-05T19:58:02.205,NULL,NULL
26,NULL,2021-05-05T19:58:03.453,NULL,NULL
27,NULL,2021-05-05T19:58:04.699,NULL,NULL
28,NULL,2021-05-05T19:58:05.948,NULL,NULL
29,NULL,2021-05-05T19:58:07.197,NULL,NULL
30,NULL,2021-05-05T19:58:08.445,NULL,NULL
31,NULL,2021-05-05T19:58:09.693,NULL,NULL
32,NULL,2021-05-05T19:58:10.938,NULL,NULL
33,NULL,2021-05-05T19:58:12.183,NULL,NULL
34,NULL,2021-05-05T19:58:13.432,NULL,NULL
35,NULL,2021-05-05T19:58:14.675,NULL,NULL
36,NULL,2021-05-05T19:58:15.929,NULL,NULL
37,NULL,2021-05-05T19:58:17.174,NULL,NULL
38,NULL,2021-05-05T19:58:18.424,NULL,NULL
39,NULL,2021-05-05T19:58:19.672,NULL,NULL
40,NULL,2021-05-05T19:58:20.921,NULL,NULL
41,NULL,2021-05-05T19:58:22.171,NULL,NULL
42,NULL,2021-05-05T19:58:23.415,NULL,NULL
43,NULL,2021-05-05T19:58:24.659,NULL,NULL
44,NULL,2021-05-05T19:58:25.905,NULL,NULL
45,NULL,2021-05-05T19:58:27.149,NULL,NULL
46,NULL,2021-05-05T19:58:28.395,NULL,NULL
47,NULL,2021-05-05T19:58:29.645,NULL,NULL
48,NULL,2021-05-05T19:58:30.892,NULL,NULL
49,NULL,2021-05-05T19:58:32.135,NULL,NULL
50,NULL,2021-05-05T19:58:33.383,NULL,NULL
51,NULL,2021-05-05T19:58:34.628,NULL,NULL
52,NULL,2021-05-05T19:58:35.880,NULL,NULL
53,NULL,2021-05-05T19:58:37.131,NULL,NULL
54,NULL,2021-05-05T19:58:38.372,NULL,NULL
55,NULL,2021-05-05T19:58:39.614,NULL,NULL
56,NULL,2021-05-05T19:58:40.861,NULL,NULL
57,NULL,2021-05-05T19:58:42.138,NULL,NULL
58,NULL,2021-05-05T19:58:43.381,NULL,NULL
59,B8:27:EB:75:C1:31,2021-05-05T19:58:44.628,52,-76
60,B8:27:EB:75:C1:31,2021-05-05T19:58:45.891,39,-74
61,B8:27:EB:75:C1:31,2021-05-05T19:58:47.143,39,-73
62,B8:27:EB:75:C1:31,2021-05-05T19:58:48.389,26,-72
63,B8:27:EB:75:C1:31,2021-05-05T19:58:49.642,24,-68
64,B8:27:EB:75:C1:31,2021-05-05T19:58:50.900,24,-67
65,B8:27:EB:75:C1:31,2021-05-05T19:58:52.150,24,-68
66,B8:27:EB:75:C1:31,2021-05-05T19:58:53.398,28.8,-68
67,B8:27:EB:75:C1:31,2021-05-05T19:58:54.648,28.8,-69
68,B8:27:EB:75:C1:31,2021-05-05T19:58:55.896,28.8,-69
69,B8:27:EB:75:C1:31,2021-05-05T19:58:57.148,28.8,-70
70,B8:27:EB:75:C1:31,2021-05-05T19:58:58.400,24,-70
71,B8:27:EB:75:C1:31,2021-05-05T19:58:59.646,24,-70
72,B8:27:EB:75:C1:31,2021-05-05T19:59:00.895,24,-70
73,B8:27:EB:75:C1:31,2021-05-05T19:59:02.144,26,-70
74,B8:27:EB:75:C1:31,2021-05-05T19:59:03.392,26,-70
75,B8:27:EB:75:C1:31,2021-05-05T19:59:04.650,24,-70
76,B8:27:EB:75:C1:31,2021-05-05T19:59:05.902,24,-70
77,B8:27:EB:75:C1:31,2021-05-05T19:59:07.152,24,-70
78,B8:27:EB:75:C1:31,2021-05-05T19:59:08.400,24,-70
79,B8:27:EB:75:C1:31,2021-05-05T19:59:09.648,26,-70
80,B8:27:EB:75:C1:31,2021-05-05T19:59:10.910,26,-70
81,B8:27:EB:75:C1:31,2021-05-05T19:59:12.164,24,-70
82,B8:27:EB:75:C1:31,2021-05-05T19:59:13.411,24,-70
83,B8:27:EB:75:C1:31,2021-05-05T19:59:14.659,24,-70
84,B8:27:EB:75:C1:31,2021-05-05T19:59:15.908,24,-70
85,B8:27:EB:75:C1:31,2021-05-05T19:59:17.161,24,-70
86,B8:27:EB:75:C1:31,2021-05-05T19:59:18.408,24,-70
87,B8:27:EB:75:C1:31,2021-05-05T19:59:19.657,24,-70
88,B8:27:EB:75:C1:31,2021-05-05T19:59:20.905,26,-70
89,B8:27:EB:75:C1:31,2021-05-05T19:59:23.107,26,-72
90,B8:27:EB:75:C1:31,2021-05-05T19:59:24.355,26,-71
91,B8:27:EB:75:C1:31,2021-05-05T19:59:25.602,26,-71
92,B8:27:EB:75:C1:31,2021-05-05T19:59:26.849,26,-71
93,B8:27:EB:75:C1:31,2021-05-05T19:59:28.096,26,-73
94,B8:27:EB:75:C1:31,2021-05-05T19:59:29.349,24,-74
95,B8:27:EB:75:C1:31,2021-05-05T19:59:30.602,24,-74
96,B8:27:EB:75:C1:31,2021-05-05T19:59:31.863,24,-75
97,B8:27:EB:75:C1:31,2021-05-05T19:59:33.117,28.8,-71
98,B8:27:EB:75:C1:31,2021-05-05T19:59:34.365,28.8,-69
99,B8:27:EB:75:C1:31,2021-05-05T19:59:35.614,28.8,-65
100,B8:27:EB:75:C1:31,2021-05-05T19:59:36.845,28.8,-65
101,B8:27:EB:75:C1:31,2021-05-05T19:59:38.095,28.8,-66
102,B8:27:EB:75:C1:31,2021-05-05T19:59:39.349,28.8,-65
103,B8:27:EB:75:C1:31,2021-05-05T19:59:40.597,28.8,-65
104,B8:27:EB:75:C1:31,2021-05-05T19:59:41.848,28.8,-64
105,B8:27:EB:75:C1:31,2021-05-05T19:59:43.009,24,-62
106,B8:27:EB:75:C1:31,2021-05-05T19:59:44.212,24,-59
107,B8:27:EB:75:C1:31,2021-05-05T19:59:45.470,24,-58
108,B8:27:EB:75:C1:31,2021-05-05T19:59:46.721,24,-58
109,B8:27:EB:75:C1:31,2021-05-05T19:59:47.985,28.8,-59
110,B8:27:EB:75:C1:31,2021-05-05T19:59:49.232,28.8,-65
111,B8:27:EB:75:C1:31,2021-05-05T19:59:50.402,24,-65
112,B8:27:EB:75:C1:31,2021-05-05T19:59:51.651,24,-68
113,B8:27:EB:75:C1:31,2021-05-05T19:59:52.919,24,-69
114,B8:27:EB:75:C1:31,2021-05-05T19:59:54.168,24,-75
115,B8:27:EB:75:C1:31,2021-05-05T19:59:55.426,24,-76
116,B8:27:EB:75:C1:31,2021-05-05T19:59:56.663,24,-77
117,B8:27:EB:75:C1:31,2021-05-05T19:59:57.784,24,-77
118,B8:27:EB:75:C1:31,2021-05-05T19:59:59.034,24,-79
119,B8:27:EB:75:C1:31,2021-05-05T20:00:00.286,24,-79
120,B8:27:EB:75:C1:31,2021-05-05T20:00:01.534,24,-80
121,B8:27:EB:75:C1:31,2021-05-05T20:00:02.787,24,-80
122,B8:27:EB:75:C1:31,2021-05-05T20:00:04.025,24,-81
123,B8:27:EB:75:C1:31,2021-05-05T20:00:05.239,12,-81
124,B8:27:EB:6C:F0:84,2021-05-05T20:00:06.503,24,-77
125,B8:27:EB:6C:F0:84,2021-05-05T20:00:07.748,39,-77
126,B8:27:EB:6C:F0:84,2021-05-05T20:00:08.997,24,-76
127,B8:27:EB:6C:F0:84,2021-05-05T20:00:10.245,39,-76
128,B8:27:EB:6C:F0:84,2021-05-05T20:00:11.492,39,-76
129,B8:27:EB:6C:F0:84,2021-05-05T20:00:12.683,24,-76
130,B8:27:EB:6C:F0:84,2021-05-05T20:00:13.944,26,-71
131,B8:27:EB:6C:F0:84,2021-05-05T20:00:15.202,12,-71
132,B8:27:EB:6C:F0:84,2021-05-05T20:00:16.456,13,-69
133,B8:27:EB:6C:F0:84,2021-05-05T20:00:17.705,5.5,-68
134,B8:27:EB:6C:F0:84,2021-05-05T20:00:18.958,6.5,-62
135,B8:27:EB:6C:F0:84,2021-05-05T20:00:20.211,6,-61
136,B8:27:EB:6C:F0:84,2021-05-05T20:00:21.468,6.5,-48
137,B8:27:EB:6C:F0:84,2021-05-05T20:00:22.726,6.5,-60
138,B8:27:EB:6C:F0:84,2021-05-05T20:00:23.981,7.2,-64
139,B8:27:EB:6C:F0:84,2021-05-05T20:00:25.237,7.2,-58
140,B8:27:EB:6C:F0:84,2021-05-05T20:00:26.492,5.5,-61
141,B8:27:EB:6C:F0:84,2021-05-05T20:00:27.756,6,-38
142,B8:27:EB:6C:F0:84,2021-05-05T20:00:29.028,12,-42
143,B8:27:EB:6C:F0:84,2021-05-05T20:00:30.287,6,-54
144,B8:27:EB:6C:F0:84,2021-05-05T20:00:31.608,7.2,-53
145,B8:27:EB:6C:F0:84,2021-05-05T20:00:32.861,13,-60
146,B8:27:EB:6C:F0:84,2021-05-05T20:00:34.116,6.5,-57
147,B8:27:EB:6C:F0:84,2021-05-05T20:00:35.365,7.2,-65
148,B8:27:EB:6C:F0:84,2021-05-05T20:00:36.616,6.5,-67
149,B8:27:EB:6C:F0:84,2021-05-05T20:00:37.868,5.5,-68
150,B8:27:EB:6C:F0:84,2021-05-05T20:00:39.119,7.2,-68
151,B8:27:EB:6C:F0:84,2021-05-05T20:00:40.390,5.5,-69
152,B8:27:EB:6C:F0:84,2021-05-05T20:00:41.637,5.5,-69
153,B8:27:EB:6C:F0:84,2021-05-05T20:00:42.895,6,-70
154,B8:27:EB:6C:F0:84,2021-05-05T20:00:44.149,5.5,-69
155,B8:27:EB:6C:F0:84,2021-05-05T20:00:45.411,7.2,-70
156,B8:27:EB:6C:F0:84,2021-05-05T20:00:46.664,5.5,-71
157,B8:27:EB:6C:F0:84,2021-05-05T20:00:47.912,5.5,-71
158,B8:27:EB:6C:F0:84,2021-05-05T20:00:49.163,5.5,-70
159,B8:27:EB:6C:F0:84,2021-05-05T20:00:50.413,5.5,-70
160,B8:27:EB:6C:F0:84,2021-05-05T20:00:51.663,5.5,-70
161,B8:27:EB:6C:F0:84,2021-05-05T20:00:52.913,5.5,-70
162,B8:27:EB:6C:F0:84,2021-05-05T20:00:54.162,6.5,-69
163,B8:27:EB:6C:F0:84,2021-05-05T20:00:55.413,5.5,-69
164,B8:27:EB:6C:F0:84,2021-05-05T20:00:57.508,5.5,-69
165,B8:27:EB:6C:F0:84,2021-05-05T20:00:58.759,6,-68
166,B8:27:EB:6C:F0:84,2021-05-05T20:01:00.012,5.5,-68
167,B8:27:EB:6C:F0:84,2021-05-05T20:01:01.271,5.5,-69
168,B8:27:EB:6C:F0:84,2021-05-05T20:01:02.529,5.5,-69
169,B8:27:EB:6C:F0:84,2021-05-05T20:01:03.791,5.5,-69
170,B8:27:EB:6C:F0:84,2021-05-05T20:01:05.039,6.5,-69
171,B8:27:EB:6C:F0:84,2021-05-05T20:01:06.297,5.5,-68
172,B8:27:EB:6C:F0:84,2021-05-05T20:01:07.548,5.5,-68
173,B8:27:EB:6C:F0:84,2021-05-05T20:01:08.800,6.5,-70
174,B8:27:EB:6C:F0:84,2021-05-05T20:01:10.060,5.5,-71
175,B8:27:EB:6C:F0:84,2021-05-05T20:01:11.319,5.5,-72
176,B8:27:EB:6C:F0:84,2021-05-05T20:01:12.577,6,-71
177,B8:27:EB:6C:F0:84,2021-05-05T20:01:13.826,6,-71
178,B8:27:EB:6C:F0:84,2021-05-05T20:01:15.965,7.2,-71
179,B8:27:EB:6C:F0:84,2021-05-05T20:01:17.234,6,-71
180,B8:27:EB:6C:F0:84,2021-05-05T20:01:18.512,7.2,-70
181,B8:27:EB:6C:F0:84,2021-05-05T20:01:19.772,6.5,-67
