,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-05-05T22:04:17.751,NULL,NULL,NULL
1,2021-05-05T22:04:33.822,NULL,NULL,NULL
2,2021-05-05T22:04:58.467,NULL,NULL,NULL
3,2021-05-05T22:05:08.757,NULL,NULL,NULL
4,2021-05-05T22:05:24.720,NULL,NULL,NULL
5,2021-05-05T22:05:34.994,NULL,NULL,NULL
6,2021-05-05T22:05:48.158,NULL,NULL,NULL
7,2021-05-05T22:05:58.440,NULL,NULL,NULL
8,2021-05-05T22:06:08.712,NULL,NULL,NULL
9,2021-05-05T22:06:24.750,NULL,NULL,NULL
10,2021-05-05T22:06:35.041,NULL,NULL,NULL
11,2021-05-05T22:06:45.320,NULL,NULL,NULL
12,2021-05-05T22:06:59.868,NULL,NULL,NULL
13,2021-05-05T22:07:14.221,NULL,NULL,NULL
14,2021-05-05T22:07:28.666,NULL,NULL,NULL
15,2021-05-05T22:07:43.113,NULL,NULL,NULL
16,2021-05-05T22:07:57.553,NULL,NULL,NULL
17,2021-05-05T22:08:07.836,NULL,NULL,NULL
18,2021-05-05T22:08:23.799,NULL,NULL,NULL
19,2021-05-05T22:08:39.787,NULL,NULL,NULL
20,2021-05-05T22:08:50.062,NULL,NULL,NULL
21,2021-05-05T22:09:04.406,NULL,NULL,NULL
22,2021-05-05T22:09:18.861,NULL,NULL,NULL
23,2021-05-05T22:09:33.283,NULL,NULL,NULL
24,2021-05-05T22:09:56.532,-82,NULL,NULL
25,2021-05-05T22:10:11.041,-73,NULL,NULL
26,2021-05-05T22:10:25.553,-63,NULL,NULL
27,2021-05-05T22:10:35.872,NULL,NULL,NULL
28,2021-05-05T22:10:54.314,-81,NULL,NULL
29,2021-05-05T22:11:08.815,-75,NULL,NULL
30,2021-05-05T22:11:23.334,-71,NULL,NULL
31,2021-05-05T22:11:41.959,-65,NULL,NULL
32,2021-05-05T22:11:56.472,-64,NULL,NULL
33,2021-05-05T22:12:11.024,NULL,NULL,NULL
34,2021-05-05T22:12:25.566,NULL,NULL,NULL
35,2021-05-05T22:12:35.846,NULL,NULL,NULL
36,2021-05-05T22:12:48.914,NULL,NULL,NULL
37,2021-05-05T22:12:59.199,NULL,NULL,NULL
38,2021-05-05T22:13:12.262,NULL,NULL,NULL
39,2021-05-05T22:13:22.472,NULL,NULL,NULL
40,2021-05-05T22:13:32.748,NULL,NULL,NULL
41,2021-05-05T22:13:47.196,NULL,NULL,NULL
42,2021-05-05T22:13:57.644,NULL,NULL,NULL
43,2021-05-05T22:14:07.931,NULL,NULL,NULL
44,2021-05-05T22:14:18.205,NULL,NULL,NULL
45,2021-05-05T22:14:28.483,NULL,NULL,NULL
46,2021-05-05T22:14:41.651,NULL,NULL,NULL
47,2021-05-05T22:14:54.782,NULL,NULL,NULL
48,2021-05-05T22:15:05.063,NULL,NULL,NULL
49,2021-05-05T22:15:18.220,NULL,NULL,NULL
50,2021-05-05T22:15:28.431,NULL,NULL,NULL
51,2021-05-05T22:15:41.584,NULL,NULL,NULL
52,2021-05-05T22:15:51.854,NULL,NULL,NULL
