,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-05-05T22:04:12.972,NULL,NULL
1,NULL,2021-05-05T22:04:14.215,NULL,NULL
2,NULL,2021-05-05T22:04:15.461,NULL,NULL
3,NULL,2021-05-05T22:04:16.704,NULL,NULL
4,NULL,2021-05-05T22:04:17.945,NULL,NULL
5,NULL,2021-05-05T22:04:19.191,NULL,NULL
6,NULL,2021-05-05T22:04:20.437,NULL,NULL
7,NULL,2021-05-05T22:04:21.681,NULL,NULL
8,NULL,2021-05-05T22:04:22.919,NULL,NULL
9,NULL,2021-05-05T22:04:24.163,NULL,NULL
10,NULL,2021-05-05T22:04:25.400,NULL,NULL
11,NULL,2021-05-05T22:04:26.639,NULL,NULL
12,NULL,2021-05-05T22:04:27.883,NULL,NULL
13,NULL,2021-05-05T22:04:29.124,NULL,NULL
14,NULL,2021-05-05T22:04:30.365,NULL,NULL
15,NULL,2021-05-05T22:04:31.606,NULL,NULL
16,NULL,2021-05-05T22:04:32.869,NULL,NULL
17,NULL,2021-05-05T22:04:34.122,NULL,NULL
18,NULL,2021-05-05T22:04:35.403,NULL,NULL
19,NULL,2021-05-05T22:04:36.665,NULL,NULL
20,NULL,2021-05-05T22:04:37.915,NULL,NULL
21,NULL,2021-05-05T22:05:00.693,NULL,NULL
22,NULL,2021-05-05T22:05:01.951,NULL,NULL
23,NULL,2021-05-05T22:05:03.217,NULL,NULL
24,NULL,2021-05-05T22:05:04.465,NULL,NULL
25,NULL,2021-05-05T22:05:05.719,NULL,NULL
26,NULL,2021-05-05T22:05:06.972,NULL,NULL
27,NULL,2021-05-05T22:05:08.215,NULL,NULL
28,NULL,2021-05-05T22:05:09.462,NULL,NULL
29,NULL,2021-05-05T22:05:10.709,NULL,NULL
30,NULL,2021-05-05T22:05:11.957,NULL,NULL
31,NULL,2021-05-05T22:05:13.209,NULL,NULL
32,NULL,2021-05-05T22:05:14.450,NULL,NULL
33,NULL,2021-05-05T22:05:15.699,NULL,NULL
34,NULL,2021-05-05T22:05:16.943,NULL,NULL
35,NULL,2021-05-05T22:05:18.187,NULL,NULL
36,NULL,2021-05-05T22:05:19.428,NULL,NULL
37,NULL,2021-05-05T22:05:20.677,NULL,NULL
38,NULL,2021-05-05T22:05:21.920,NULL,NULL
39,NULL,2021-05-05T22:05:23.162,NULL,NULL
40,NULL,2021-05-05T22:05:24.402,NULL,NULL
41,NULL,2021-05-05T22:05:25.645,NULL,NULL
42,NULL,2021-05-05T22:05:26.889,NULL,NULL
43,NULL,2021-05-05T22:05:28.134,NULL,NULL
44,NULL,2021-05-05T22:05:29.378,NULL,NULL
