,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-05-05T22:46:54.672,NULL,NULL,NULL
1,2021-05-05T22:47:10.636,NULL,NULL,NULL
2,2021-05-05T22:47:26.631,NULL,NULL,NULL
3,2021-05-05T22:47:36.912,NULL,NULL,NULL
4,2021-05-05T22:47:50.064,NULL,NULL,NULL
5,2021-05-05T22:48:00.334,NULL,NULL,NULL
6,2021-05-05T22:48:13.505,NULL,NULL,NULL
7,2021-05-05T22:48:23.787,NULL,NULL,NULL
8,2021-05-05T22:48:39.738,NULL,NULL,NULL
9,2021-05-05T22:48:55.700,NULL,NULL,NULL
10,2021-05-05T22:49:11.682,NULL,NULL,NULL
11,2021-05-05T22:49:27.656,NULL,NULL,NULL
12,2021-05-05T22:49:43.620,NULL,NULL,NULL
13,2021-05-05T22:49:59.589,NULL,NULL,NULL
14,2021-05-05T22:50:15.555,NULL,NULL,NULL
15,2021-05-05T22:50:31.518,NULL,NULL,NULL
16,2021-05-05T22:50:44.683,NULL,NULL,NULL
17,2021-05-05T22:50:59.229,NULL,NULL,NULL
18,2021-05-05T22:51:13.729,NULL,NULL,NULL
19,2021-05-05T22:51:28.169,NULL,NULL,NULL
20,2021-05-05T22:51:38.447,NULL,NULL,NULL
21,2021-05-05T22:51:53.022,NULL,NULL,NULL
22,2021-05-05T22:52:07.572,NULL,NULL,NULL
23,2021-05-05T22:52:21.952,NULL,NULL,NULL
24,2021-05-05T22:52:36.338,NULL,NULL,NULL
25,2021-05-05T22:52:46.623,NULL,NULL,NULL
26,2021-05-05T22:52:59.775,NULL,NULL,NULL
27,2021-05-05T22:53:15.744,NULL,NULL,NULL
28,2021-05-05T22:53:26.016,NULL,NULL,NULL
29,2021-05-05T22:53:36.287,NULL,NULL,NULL
30,2021-05-05T22:53:53.473,-69,NULL,NULL
31,2021-05-05T22:54:08.017,-81,NULL,NULL
32,2021-05-05T22:54:22.515,-73,NULL,NULL
33,2021-05-05T22:54:41.318,-75,NULL,NULL
34,2021-05-05T22:54:55.948,-75,NULL,NULL
35,2021-05-05T22:55:10.512,NULL,NULL,NULL
36,2021-05-05T22:55:24.998,NULL,NULL,NULL
37,2021-05-05T22:55:35.285,NULL,NULL,NULL
38,2021-05-05T22:55:49.907,-72,NULL,NULL
39,2021-05-05T22:56:04.383,-58,NULL,NULL
40,2021-05-05T22:56:18.913,NULL,NULL,NULL
41,2021-05-05T22:56:33.454,NULL,NULL,NULL
42,2021-05-05T22:56:50.501,NULL,NULL,NULL
43,2021-05-05T22:57:00.784,NULL,NULL,NULL
44,2021-05-05T22:57:13.844,NULL,NULL,NULL
45,2021-05-05T22:57:24.116,NULL,NULL,NULL
46,2021-05-05T22:57:40.077,NULL,NULL,NULL
47,2021-05-05T22:57:53.232,NULL,NULL,NULL
48,2021-05-05T22:58:03.506,NULL,NULL,NULL
49,2021-05-05T22:58:16.663,NULL,NULL,NULL
50,2021-05-05T22:58:26.934,NULL,NULL,NULL
51,2021-05-05T22:58:37.202,NULL,NULL,NULL
52,2021-05-05T22:58:51.741,NULL,NULL,NULL
53,2021-05-05T22:59:02.052,NULL,NULL,NULL
54,2021-05-05T22:59:15.208,NULL,NULL,NULL
55,2021-05-05T22:59:28.362,NULL,NULL,NULL
56,2021-05-05T22:59:41.544,NULL,NULL,NULL
