,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-05-05T22:46:51.629,NULL,NULL
1,NULL,2021-05-05T22:46:52.879,NULL,NULL
2,NULL,2021-05-05T22:46:54.129,NULL,NULL
3,NULL,2021-05-05T22:46:55.372,NULL,NULL
4,NULL,2021-05-05T22:46:56.616,NULL,NULL
5,NULL,2021-05-05T22:46:57.860,NULL,NULL
6,NULL,2021-05-05T22:46:59.043,NULL,NULL
7,NULL,2021-05-05T22:47:00.285,NULL,NULL
8,NULL,2021-05-05T22:47:01.524,NULL,NULL
9,NULL,2021-05-05T22:47:02.755,NULL,NULL
10,NULL,2021-05-05T22:47:03.921,NULL,NULL
11,NULL,2021-05-05T22:47:05.164,NULL,NULL
12,NULL,2021-05-05T22:47:06.404,NULL,NULL
13,NULL,2021-05-05T22:47:07.648,NULL,NULL
14,NULL,2021-05-05T22:47:08.922,NULL,NULL
15,NULL,2021-05-05T22:47:10.172,NULL,NULL
16,NULL,2021-05-05T22:47:11.440,NULL,NULL
17,NULL,2021-05-05T22:47:12.694,NULL,NULL
18,NULL,2021-05-05T22:47:13.975,NULL,NULL
19,NULL,2021-05-05T22:47:15.229,NULL,NULL
20,NULL,2021-05-05T22:47:16.470,NULL,NULL
21,NULL,2021-05-05T22:47:17.723,NULL,NULL
22,NULL,2021-05-05T22:47:18.976,NULL,NULL
23,NULL,2021-05-05T22:47:20.232,NULL,NULL
24,NULL,2021-05-05T22:47:21.435,NULL,NULL
25,NULL,2021-05-05T22:47:22.678,NULL,NULL
26,NULL,2021-05-05T22:47:23.922,NULL,NULL
27,NULL,2021-05-05T22:47:25.162,NULL,NULL
28,NULL,2021-05-05T22:47:26.404,NULL,NULL
29,NULL,2021-05-05T22:47:27.657,NULL,NULL
30,NULL,2021-05-05T22:47:28.911,NULL,NULL
31,NULL,2021-05-05T22:47:30.157,NULL,NULL
32,NULL,2021-05-05T22:47:31.334,NULL,NULL
33,NULL,2021-05-05T22:47:32.576,NULL,NULL
34,NULL,2021-05-05T22:47:33.819,NULL,NULL
35,NULL,2021-05-05T22:47:35.061,NULL,NULL
36,NULL,2021-05-05T22:47:36.303,NULL,NULL
37,NULL,2021-05-05T22:47:37.545,NULL,NULL
38,NULL,2021-05-05T22:47:38.727,NULL,NULL
39,NULL,2021-05-05T22:47:39.972,NULL,NULL
40,NULL,2021-05-05T22:47:41.218,NULL,NULL
41,NULL,2021-05-05T22:47:42.420,NULL,NULL
42,NULL,2021-05-05T22:47:43.662,NULL,NULL
43,NULL,2021-05-05T22:47:44.904,NULL,NULL
44,NULL,2021-05-05T22:47:46.151,NULL,NULL
45,NULL,2021-05-05T22:47:47.328,NULL,NULL
46,NULL,2021-05-05T22:47:48.570,NULL,NULL
47,NULL,2021-05-05T22:47:49.814,NULL,NULL
48,NULL,2021-05-05T22:47:51.057,NULL,NULL
49,NULL,2021-05-05T22:47:52.298,NULL,NULL
50,NULL,2021-05-05T22:47:53.533,NULL,NULL
51,NULL,2021-05-05T22:47:54.697,NULL,NULL
52,NULL,2021-05-05T22:47:55.956,NULL,NULL
53,NULL,2021-05-05T22:47:57.180,NULL,NULL
54,NULL,2021-05-05T22:47:58.427,NULL,NULL
55,NULL,2021-05-05T22:47:59.669,NULL,NULL
56,NULL,2021-05-05T22:48:00.911,NULL,NULL
57,NULL,2021-05-05T22:48:02.168,NULL,NULL
58,NULL,2021-05-05T22:48:03.412,NULL,NULL
59,NULL,2021-05-05T22:48:04.569,NULL,NULL
60,NULL,2021-05-05T22:48:05.819,NULL,NULL
61,NULL,2021-05-05T22:48:07.065,NULL,NULL
62,NULL,2021-05-05T22:48:08.307,NULL,NULL
63,NULL,2021-05-05T22:48:09.555,NULL,NULL
64,NULL,2021-05-05T22:48:10.805,NULL,NULL
65,NULL,2021-05-05T22:48:12.048,NULL,NULL
66,NULL,2021-05-05T22:48:13.290,NULL,NULL
67,NULL,2021-05-05T22:48:14.559,NULL,NULL
68,NULL,2021-05-05T22:48:15.810,NULL,NULL
69,NULL,2021-05-05T22:48:17.064,NULL,NULL
70,NULL,2021-05-05T22:48:18.313,NULL,NULL
71,NULL,2021-05-05T22:48:19.567,NULL,NULL
72,NULL,2021-05-05T22:48:20.777,NULL,NULL
73,NULL,2021-05-05T22:48:22.019,NULL,NULL
74,NULL,2021-05-05T22:48:23.260,NULL,NULL
75,NULL,2021-05-05T22:48:24.503,NULL,NULL
76,NULL,2021-05-05T22:48:25.756,NULL,NULL
77,NULL,2021-05-05T22:48:27.004,NULL,NULL
78,NULL,2021-05-05T22:48:28.218,NULL,NULL
79,NULL,2021-05-05T22:48:29.468,NULL,NULL
80,NULL,2021-05-05T22:48:30.716,NULL,NULL
81,NULL,2021-05-05T22:48:31.980,NULL,NULL
82,NULL,2021-05-05T22:48:33.226,NULL,NULL
83,NULL,2021-05-05T22:48:34.469,NULL,NULL
84,NULL,2021-05-05T22:48:35.712,NULL,NULL
85,NULL,2021-05-05T22:48:36.955,NULL,NULL
86,NULL,2021-05-05T22:48:38.199,NULL,NULL
87,NULL,2021-05-05T22:48:39.441,NULL,NULL
88,NULL,2021-05-05T22:48:40.694,NULL,NULL
89,NULL,2021-05-05T22:48:41.941,NULL,NULL
90,NULL,2021-05-05T22:48:43.186,NULL,NULL
91,NULL,2021-05-05T22:48:44.360,NULL,NULL
92,NULL,2021-05-05T22:48:45.600,NULL,NULL
93,NULL,2021-05-05T22:48:46.840,NULL,NULL
94,NULL,2021-05-05T22:48:48.088,NULL,NULL
95,NULL,2021-05-05T22:48:49.334,NULL,NULL
96,NULL,2021-05-05T22:48:50.579,NULL,NULL
97,NULL,2021-05-05T22:48:51.820,NULL,NULL
98,NULL,2021-05-05T22:48:53.069,NULL,NULL
99,NULL,2021-05-05T22:48:54.311,NULL,NULL
100,NULL,2021-05-05T22:48:55.550,NULL,NULL
101,NULL,2021-05-05T22:48:56.820,NULL,NULL
102,NULL,2021-05-05T22:48:58.065,NULL,NULL
103,NULL,2021-05-05T22:48:59.311,NULL,NULL
104,NULL,2021-05-05T22:49:00.557,NULL,NULL
105,NULL,2021-05-05T22:49:01.798,NULL,NULL
106,NULL,2021-05-05T22:49:03.040,NULL,NULL
107,NULL,2021-05-05T22:49:04.288,NULL,NULL
108,NULL,2021-05-05T22:49:05.533,NULL,NULL
109,NULL,2021-05-05T22:49:06.776,NULL,NULL
110,NULL,2021-05-05T22:49:08.019,NULL,NULL
111,NULL,2021-05-05T22:49:09.261,NULL,NULL
112,NULL,2021-05-05T22:49:10.504,NULL,NULL
113,NULL,2021-05-05T22:49:11.746,NULL,NULL
114,NULL,2021-05-05T22:49:13.006,NULL,NULL
115,NULL,2021-05-05T22:49:14.253,NULL,NULL
116,NULL,2021-05-05T22:49:15.499,NULL,NULL
117,NULL,2021-05-05T22:49:16.740,NULL,NULL
118,NULL,2021-05-05T22:49:17.982,NULL,NULL
119,NULL,2021-05-05T22:49:19.224,NULL,NULL
120,NULL,2021-05-05T22:49:20.471,NULL,NULL
121,NULL,2021-05-05T22:49:21.719,NULL,NULL
122,NULL,2021-05-05T22:49:22.966,NULL,NULL
123,NULL,2021-05-05T22:49:24.207,NULL,NULL
124,NULL,2021-05-05T22:49:25.449,NULL,NULL
125,NULL,2021-05-05T22:49:26.690,NULL,NULL
126,NULL,2021-05-05T22:49:27.944,NULL,NULL
127,NULL,2021-05-05T22:49:29.189,NULL,NULL
128,NULL,2021-05-05T22:49:30.431,NULL,NULL
129,NULL,2021-05-05T22:49:31.666,NULL,NULL
130,NULL,2021-05-05T22:49:32.909,NULL,NULL
131,NULL,2021-05-05T22:49:34.149,NULL,NULL
132,NULL,2021-05-05T22:49:35.390,NULL,NULL
133,NULL,2021-05-05T22:49:36.633,NULL,NULL
134,NULL,2021-05-05T22:49:37.881,NULL,NULL
135,NULL,2021-05-05T22:49:39.126,NULL,NULL
136,NULL,2021-05-05T22:49:40.366,NULL,NULL
137,NULL,2021-05-05T22:49:41.609,NULL,NULL
138,NULL,2021-05-05T22:49:42.849,NULL,NULL
139,NULL,2021-05-05T22:49:44.095,NULL,NULL
140,NULL,2021-05-05T22:49:45.339,NULL,NULL
141,NULL,2021-05-05T22:49:46.585,NULL,NULL
142,NULL,2021-05-05T22:49:47.754,NULL,NULL
