,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-05-05T23:05:42.296,NULL,NULL,NULL
1,2021-05-05T23:05:52.591,NULL,NULL,NULL
2,2021-05-05T23:06:05.761,NULL,NULL,NULL
3,2021-05-05T23:06:16.044,NULL,NULL,NULL
4,2021-05-05T23:06:29.212,NULL,NULL,NULL
5,2021-05-05T23:06:42.396,NULL,NULL,NULL
6,2021-05-05T23:06:52.682,NULL,NULL,NULL
7,2021-05-05T23:07:05.842,NULL,NULL,NULL
8,2021-05-05T23:07:16.129,NULL,NULL,NULL
9,2021-05-05T23:07:26.410,NULL,NULL,NULL
10,2021-05-05T23:07:36.690,NULL,NULL,NULL
11,2021-05-05T23:07:49.852,NULL,NULL,NULL
12,2021-05-05T23:08:00.139,NULL,NULL,NULL
13,2021-05-05T23:08:13.310,NULL,NULL,NULL
14,2021-05-05T23:08:26.486,NULL,NULL,NULL
15,2021-05-05T23:08:36.764,NULL,NULL,NULL
16,2021-05-05T23:08:49.929,NULL,NULL,NULL
17,2021-05-05T23:09:03.097,NULL,NULL,NULL
18,2021-05-05T23:09:16.265,NULL,NULL,NULL
19,2021-05-05T23:09:29.429,NULL,NULL,NULL
20,2021-05-05T23:09:42.592,NULL,NULL,NULL
21,2021-05-05T23:09:55.774,NULL,NULL,NULL
22,2021-05-05T23:10:08.838,NULL,NULL,NULL
23,2021-05-05T23:10:23.293,NULL,NULL,NULL
24,2021-05-05T23:10:36.536,NULL,NULL,NULL
25,2021-05-05T23:10:49.703,NULL,NULL,NULL
26,2021-05-05T23:11:02.875,NULL,NULL,NULL
27,2021-05-05T23:11:16.043,NULL,NULL,NULL
28,2021-05-05T23:11:26.336,NULL,NULL,NULL
29,2021-05-05T23:11:39.515,NULL,NULL,NULL
30,2021-05-05T23:11:49.806,NULL,NULL,NULL
31,2021-05-05T23:12:02.973,NULL,NULL,NULL
32,2021-05-05T23:12:13.158,NULL,NULL,NULL
