,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-05-05T23:05:41.607,NULL,NULL
1,NULL,2021-05-05T23:05:42.850,NULL,NULL
2,NULL,2021-05-05T23:05:44.095,NULL,NULL
3,NULL,2021-05-05T23:05:45.336,NULL,NULL
4,NULL,2021-05-05T23:05:46.581,NULL,NULL
5,NULL,2021-05-05T23:05:47.825,NULL,NULL
6,NULL,2021-05-05T23:05:49.072,NULL,NULL
7,NULL,2021-05-05T23:05:50.319,NULL,NULL
8,NULL,2021-05-05T23:05:51.565,NULL,NULL
9,NULL,2021-05-05T23:05:52.803,NULL,NULL
10,NULL,2021-05-05T23:05:54.047,NULL,NULL
11,NULL,2021-05-05T23:05:55.291,NULL,NULL
12,NULL,2021-05-05T23:05:56.535,NULL,NULL
13,NULL,2021-05-05T23:05:57.779,NULL,NULL
14,NULL,2021-05-05T23:05:59.018,NULL,NULL
15,NULL,2021-05-05T23:06:00.255,NULL,NULL
16,NULL,2021-05-05T23:06:01.496,NULL,NULL
17,NULL,2021-05-05T23:06:02.737,NULL,NULL
18,NULL,2021-05-05T23:06:03.981,NULL,NULL
19,NULL,2021-05-05T23:06:05.220,NULL,NULL
20,NULL,2021-05-05T23:06:06.458,NULL,NULL
21,NULL,2021-05-05T23:06:07.697,NULL,NULL
22,NULL,2021-05-05T23:06:08.937,NULL,NULL
23,NULL,2021-05-05T23:06:10.185,NULL,NULL
24,NULL,2021-05-05T23:06:11.433,NULL,NULL
25,NULL,2021-05-05T23:06:12.680,NULL,NULL
26,NULL,2021-05-05T23:06:13.930,NULL,NULL
27,NULL,2021-05-05T23:06:15.169,NULL,NULL
28,NULL,2021-05-05T23:06:16.408,NULL,NULL
29,NULL,2021-05-05T23:06:17.649,NULL,NULL
30,NULL,2021-05-05T23:06:18.891,NULL,NULL
31,NULL,2021-05-05T23:06:20.134,NULL,NULL
32,NULL,2021-05-05T23:06:21.377,NULL,NULL
33,NULL,2021-05-05T23:06:22.614,NULL,NULL
34,NULL,2021-05-05T23:06:23.853,NULL,NULL
35,NULL,2021-05-05T23:06:25.093,NULL,NULL
36,NULL,2021-05-05T23:06:26.353,NULL,NULL
37,NULL,2021-05-05T23:06:27.591,NULL,NULL
38,NULL,2021-05-05T23:06:28.829,NULL,NULL
39,NULL,2021-05-05T23:06:30.067,NULL,NULL
40,NULL,2021-05-05T23:06:31.305,NULL,NULL
41,NULL,2021-05-05T23:06:32.548,NULL,NULL
42,NULL,2021-05-05T23:06:33.802,NULL,NULL
43,NULL,2021-05-05T23:06:35.040,NULL,NULL
44,NULL,2021-05-05T23:06:36.278,NULL,NULL
45,NULL,2021-05-05T23:06:37.518,NULL,NULL
46,NULL,2021-05-05T23:06:38.760,NULL,NULL
47,NULL,2021-05-05T23:06:40.001,NULL,NULL
48,NULL,2021-05-05T23:06:41.246,NULL,NULL
49,NULL,2021-05-05T23:06:42.486,NULL,NULL
50,NULL,2021-05-05T23:06:43.746,NULL,NULL
51,NULL,2021-05-05T23:06:44.985,NULL,NULL
52,NULL,2021-05-05T23:06:46.234,NULL,NULL
53,NULL,2021-05-05T23:06:47.490,NULL,NULL
54,NULL,2021-05-05T23:06:48.733,NULL,NULL
55,NULL,2021-05-05T23:06:49.977,NULL,NULL
56,NULL,2021-05-05T23:06:51.217,NULL,NULL
57,NULL,2021-05-05T23:06:52.455,NULL,NULL
58,NULL,2021-05-05T23:06:53.704,NULL,NULL
59,NULL,2021-05-05T23:06:54.951,NULL,NULL
60,NULL,2021-05-05T23:06:56.195,NULL,NULL
61,NULL,2021-05-05T23:06:57.440,NULL,NULL
62,NULL,2021-05-05T23:06:58.681,NULL,NULL
63,NULL,2021-05-05T23:06:59.929,NULL,NULL
64,NULL,2021-05-05T23:07:01.169,NULL,NULL
65,NULL,2021-05-05T23:07:02.417,NULL,NULL
66,NULL,2021-05-05T23:07:03.657,NULL,NULL
67,NULL,2021-05-05T23:07:04.898,NULL,NULL
68,NULL,2021-05-05T23:07:06.141,NULL,NULL
69,NULL,2021-05-05T23:07:07.383,NULL,NULL
70,NULL,2021-05-05T23:07:08.644,NULL,NULL
71,NULL,2021-05-05T23:07:09.887,NULL,NULL
72,NULL,2021-05-05T23:07:11.130,NULL,NULL
73,NULL,2021-05-05T23:07:12.373,NULL,NULL
74,NULL,2021-05-05T23:07:13.616,NULL,NULL
75,NULL,2021-05-05T23:07:14.856,NULL,NULL
76,NULL,2021-05-05T23:07:16.099,NULL,NULL
77,NULL,2021-05-05T23:07:17.347,NULL,NULL
78,NULL,2021-05-05T23:07:18.591,NULL,NULL
79,NULL,2021-05-05T23:07:19.837,NULL,NULL
80,NULL,2021-05-05T23:07:21.082,NULL,NULL
81,NULL,2021-05-05T23:07:22.322,NULL,NULL
82,NULL,2021-05-05T23:07:23.565,NULL,NULL
83,NULL,2021-05-05T23:07:24.807,NULL,NULL
84,NULL,2021-05-05T23:07:26.055,NULL,NULL
85,NULL,2021-05-05T23:07:27.293,NULL,NULL
86,NULL,2021-05-05T23:07:28.542,NULL,NULL
87,NULL,2021-05-05T23:07:29.789,NULL,NULL
88,NULL,2021-05-05T23:07:31.030,NULL,NULL
89,NULL,2021-05-05T23:07:32.273,NULL,NULL
90,NULL,2021-05-05T23:07:33.515,NULL,NULL
91,NULL,2021-05-05T23:07:34.753,NULL,NULL
92,NULL,2021-05-05T23:07:35.992,NULL,NULL
93,NULL,2021-05-05T23:07:37.230,NULL,NULL
94,NULL,2021-05-05T23:07:38.473,NULL,NULL
95,NULL,2021-05-05T23:07:39.715,NULL,NULL
96,NULL,2021-05-05T23:07:40.958,NULL,NULL
97,NULL,2021-05-05T23:07:42.201,NULL,NULL
98,NULL,2021-05-05T23:07:43.448,NULL,NULL
99,NULL,2021-05-05T23:07:44.690,NULL,NULL
100,NULL,2021-05-05T23:07:45.933,NULL,NULL
101,NULL,2021-05-05T23:07:47.171,NULL,NULL
102,NULL,2021-05-05T23:07:48.410,NULL,NULL
103,NULL,2021-05-05T23:07:49.651,NULL,NULL
104,NULL,2021-05-05T23:07:50.902,NULL,NULL
105,NULL,2021-05-05T23:07:52.144,NULL,NULL
106,NULL,2021-05-05T23:07:53.384,NULL,NULL
107,NULL,2021-05-05T23:07:54.626,NULL,NULL
108,NULL,2021-05-05T23:07:55.868,NULL,NULL
109,NULL,2021-05-05T23:07:57.111,NULL,NULL
110,NULL,2021-05-05T23:07:58.354,NULL,NULL
111,NULL,2021-05-05T23:07:59.593,NULL,NULL
112,NULL,2021-05-05T23:08:00.830,NULL,NULL
113,NULL,2021-05-05T23:08:02.072,NULL,NULL
114,NULL,2021-05-05T23:08:03.309,NULL,NULL
115,NULL,2021-05-05T23:08:04.555,NULL,NULL
116,NULL,2021-05-05T23:08:05.798,NULL,NULL
117,NULL,2021-05-05T23:08:07.039,NULL,NULL
118,NULL,2021-05-05T23:08:08.283,NULL,NULL
119,NULL,2021-05-05T23:08:09.524,NULL,NULL
120,NULL,2021-05-05T23:08:10.762,NULL,NULL
121,NULL,2021-05-05T23:08:12.001,NULL,NULL
122,NULL,2021-05-05T23:08:13.240,NULL,NULL
123,NULL,2021-05-05T23:08:14.500,NULL,NULL
124,NULL,2021-05-05T23:08:15.741,NULL,NULL
125,NULL,2021-05-05T23:08:16.982,NULL,NULL
126,NULL,2021-05-05T23:08:18.226,NULL,NULL
127,NULL,2021-05-05T23:08:19.472,NULL,NULL
128,NULL,2021-05-05T23:08:20.717,NULL,NULL
129,NULL,2021-05-05T23:08:21.963,NULL,NULL
130,NULL,2021-05-05T23:08:23.210,NULL,NULL
131,NULL,2021-05-05T23:08:24.452,NULL,NULL
132,NULL,2021-05-05T23:08:25.700,NULL,NULL
133,NULL,2021-05-05T23:08:26.943,NULL,NULL
134,NULL,2021-05-05T23:08:28.187,NULL,NULL
135,NULL,2021-05-05T23:08:29.431,NULL,NULL
136,NULL,2021-05-05T23:08:30.675,NULL,NULL
137,NULL,2021-05-05T23:08:31.919,NULL,NULL
138,NULL,2021-05-05T23:08:33.163,NULL,NULL
139,NULL,2021-05-05T23:08:34.402,NULL,NULL
140,NULL,2021-05-05T23:08:35.643,NULL,NULL
141,NULL,2021-05-05T23:08:36.885,NULL,NULL
142,NULL,2021-05-05T23:08:38.129,NULL,NULL
143,NULL,2021-05-05T23:08:39.373,NULL,NULL
144,NULL,2021-05-05T23:08:40.617,NULL,NULL
145,NULL,2021-05-05T23:08:41.861,NULL,NULL
146,NULL,2021-05-05T23:08:43.106,NULL,NULL
147,NULL,2021-05-05T23:08:44.350,NULL,NULL
148,NULL,2021-05-05T23:08:45.607,NULL,NULL
149,NULL,2021-05-05T23:08:46.852,NULL,NULL
150,NULL,2021-05-05T23:08:48.097,NULL,NULL
151,NULL,2021-05-05T23:08:49.338,NULL,NULL
152,NULL,2021-05-05T23:08:50.581,NULL,NULL
153,NULL,2021-05-05T23:08:51.824,NULL,NULL
154,NULL,2021-05-05T23:08:53.069,NULL,NULL
155,NULL,2021-05-05T23:08:54.313,NULL,NULL
156,NULL,2021-05-05T23:08:55.556,NULL,NULL
157,NULL,2021-05-05T23:08:56.799,NULL,NULL
158,NULL,2021-05-05T23:08:58.043,NULL,NULL
159,NULL,2021-05-05T23:08:59.286,NULL,NULL
160,NULL,2021-05-05T23:09:00.534,NULL,NULL
161,NULL,2021-05-05T23:09:01.775,NULL,NULL
162,NULL,2021-05-05T23:09:03.017,NULL,NULL
163,NULL,2021-05-05T23:09:04.280,NULL,NULL
164,NULL,2021-05-05T23:09:05.519,NULL,NULL
165,NULL,2021-05-05T23:09:06.760,NULL,NULL
166,NULL,2021-05-05T23:09:08.003,NULL,NULL
167,NULL,2021-05-05T23:09:09.248,NULL,NULL
168,NULL,2021-05-05T23:09:10.492,NULL,NULL
169,NULL,2021-05-05T23:09:11.677,NULL,NULL
170,NULL,2021-05-05T23:09:12.920,NULL,NULL
171,NULL,2021-05-05T23:09:14.162,NULL,NULL
172,NULL,2021-05-05T23:09:15.401,NULL,NULL
173,NULL,2021-05-05T23:09:16.644,NULL,NULL
174,NULL,2021-05-05T23:09:17.886,NULL,NULL
175,NULL,2021-05-05T23:09:19.126,NULL,NULL
176,NULL,2021-05-05T23:09:20.368,NULL,NULL
177,NULL,2021-05-05T23:09:21.634,NULL,NULL
178,NULL,2021-05-05T23:09:22.879,NULL,NULL
179,NULL,2021-05-05T23:09:24.122,NULL,NULL
180,NULL,2021-05-05T23:09:25.367,NULL,NULL
181,NULL,2021-05-05T23:09:26.611,NULL,NULL
182,NULL,2021-05-05T23:09:27.851,NULL,NULL
183,NULL,2021-05-05T23:09:29.091,NULL,NULL
184,NULL,2021-05-05T23:09:30.335,NULL,NULL
185,NULL,2021-05-05T23:09:31.580,NULL,NULL
186,NULL,2021-05-05T23:09:32.824,NULL,NULL
187,NULL,2021-05-05T23:09:34.072,NULL,NULL
