,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-04-30T19:19:38.785,NULL,NULL,NULL
1,2021-04-30T19:19:49.562,NULL,NULL,NULL
2,2021-04-30T19:20:00.333,NULL,NULL,NULL
3,2021-04-30T19:20:11.105,NULL,NULL,NULL
4,2021-04-30T19:20:21.872,NULL,NULL,NULL
5,2021-04-30T19:20:32.644,NULL,NULL,NULL
6,2021-04-30T19:20:43.415,NULL,NULL,NULL
7,2021-04-30T19:20:54.172,NULL,NULL,NULL
8,2021-04-30T19:21:04.948,NULL,NULL,NULL
9,2021-04-30T19:21:15.716,NULL,NULL,NULL
10,2021-04-30T19:21:26.487,NULL,NULL,NULL
11,2021-04-30T19:21:37.251,NULL,NULL,NULL
12,2021-04-30T19:21:48.189,NULL,NULL,-91
13,2021-04-30T19:21:59.119,NULL,NULL,-85
14,2021-04-30T20:39:46.689,NULL,NULL,-79
15,2021-04-30T20:39:57.611,NULL,NULL,-67
16,2021-04-30T20:40:08.562,NULL,NULL,-74
17,2021-04-30T20:40:19.486,NULL,NULL,-69
18,2021-04-30T20:40:30.417,NULL,NULL,-72
19,2021-04-30T20:40:41.336,NULL,NULL,-78
20,2021-04-30T20:40:52.385,NULL,NULL,-77
21,2021-04-30T20:41:03.693,NULL,NULL,-81
22,2021-04-30T20:41:14.666,NULL,NULL,-83
23,2021-04-30T20:41:25.592,NULL,NULL,-83
24,2021-04-30T20:41:36.521,NULL,NULL,-86
25,2021-04-30T20:41:47.449,NULL,-83,-90
26,2021-04-30T20:41:58.416,NULL,-62,-90
27,2021-04-30T20:42:09.348,-88,-45,-90
28,2021-04-30T20:42:20.283,-87,-41,NULL
29,2021-04-30T20:42:31.205,-92,-57,NULL
30,2021-04-30T20:42:42.127,-92,-63,NULL
31,2021-04-30T20:42:53.045,-92,-73,NULL
32,2021-04-30T20:43:03.979,NULL,-66,NULL
33,2021-04-30T20:43:14.896,-73,-71,NULL
34,2021-04-30T20:43:25.818,-73,-75,NULL
35,2021-04-30T20:43:36.740,-73,-76,NULL
36,2021-04-30T20:43:47.656,-73,-81,NULL
37,2021-04-30T20:43:58.588,-86,-73,NULL
38,2021-04-30T20:44:09.528,-66,-80,NULL
39,2021-04-30T20:44:20.471,-56,-83,NULL
40,2021-04-30T20:44:31.410,-59,-79,NULL
41,2021-04-30T20:44:42.338,-67,-76,NULL
42,2021-04-30T20:44:53.277,-65,-85,NULL
43,2021-04-30T20:45:04.209,-74,-86,NULL
44,2021-04-30T20:45:15.146,-80,-81,NULL
45,2021-04-30T20:45:26.064,-80,-80,NULL
46,2021-04-30T20:45:36.999,-80,-60,NULL
47,2021-04-30T20:45:47.918,-84,-54,NULL
48,2021-04-30T20:45:58.845,-84,-61,NULL
49,2021-04-30T20:46:09.778,-84,-58,NULL
50,2021-04-30T20:46:20.711,NULL,-70,NULL
51,2021-04-30T20:46:31.649,NULL,-82,NULL
52,2021-04-30T20:46:42.561,NULL,-83,NULL
53,2021-04-30T20:46:53.485,NULL,-83,NULL
54,2021-04-30T20:47:04.428,NULL,-94,-88
55,2021-04-30T20:47:15.362,NULL,-94,-88
56,2021-04-30T20:47:27.025,NULL,-85,-74
57,2021-04-30T20:47:37.963,NULL,-85,-65
58,2021-04-30T20:47:48.890,NULL,-85,-63
59,2021-04-30T20:47:59.802,NULL,NULL,-70
60,2021-04-30T20:48:10.734,NULL,NULL,-74
61,2021-04-30T20:48:21.644,NULL,NULL,-74
62,2021-04-30T20:48:32.565,NULL,NULL,-88
63,2021-04-30T20:48:43.522,NULL,NULL,-78
64,2021-04-30T20:48:54.440,NULL,NULL,-80
65,2021-04-30T20:49:04.589,NULL,NULL,NULL
66,2021-04-30T20:49:15.335,NULL,NULL,-83
67,2021-04-30T20:49:26.600,NULL,NULL,NULL
68,2021-04-30T20:49:37.367,NULL,NULL,NULL
69,2021-04-30T20:49:48.127,NULL,NULL,NULL
70,2021-04-30T20:49:58.886,NULL,NULL,NULL
71,2021-04-30T20:50:09.650,NULL,NULL,NULL
72,2021-04-30T20:50:20.420,NULL,NULL,NULL
73,2021-04-30T20:50:31.184,NULL,NULL,NULL
