,TIMESTAMP,MAC1,MAC2,MAC3
0,2021-05-05T23:13:38.295,NULL,NULL,NULL
1,2021-05-05T23:13:54.261,NULL,NULL,NULL
2,2021-05-05T23:14:10.122,NULL,NULL,NULL
3,2021-05-05T23:14:25.970,NULL,NULL,NULL
4,2021-05-05T23:14:36.270,NULL,NULL,NULL
5,2021-05-05T23:14:49.426,NULL,NULL,NULL
6,2021-05-05T23:14:59.718,NULL,NULL,NULL
7,2021-05-05T23:15:12.877,NULL,NULL,NULL
8,2021-05-05T23:15:26.032,NULL,NULL,NULL
9,2021-05-05T23:15:36.306,NULL,NULL,NULL
10,2021-05-05T23:15:49.462,NULL,NULL,NULL
11,2021-05-05T23:16:02.626,NULL,NULL,NULL
12,2021-05-05T23:16:15.758,NULL,NULL,NULL
13,2021-05-05T23:16:28.838,NULL,NULL,NULL
14,2021-05-05T23:16:41.986,NULL,NULL,NULL
15,2021-05-05T23:16:55.109,NULL,NULL,NULL
16,2021-05-05T23:17:09.460,NULL,NULL,NULL
17,2021-05-05T23:17:23.722,NULL,NULL,NULL
18,2021-05-05T23:17:38.175,NULL,NULL,NULL
19,2021-05-05T23:17:48.468,NULL,NULL,NULL
20,2021-05-05T23:17:58.744,NULL,NULL,NULL
21,2021-05-05T23:18:13.072,NULL,NULL,NULL
22,2021-05-05T23:18:27.432,NULL,NULL,NULL
23,2021-05-05T23:18:40.634,NULL,NULL,NULL
24,2021-05-05T23:18:53.733,NULL,NULL,NULL
25,2021-05-05T23:19:06.829,NULL,NULL,NULL
26,2021-05-05T23:19:19.920,NULL,NULL,NULL
27,2021-05-05T23:19:30.148,NULL,NULL,NULL
28,2021-05-05T23:19:43.217,NULL,NULL,NULL
29,2021-05-05T23:19:53.405,NULL,NULL,NULL
30,2021-05-05T23:20:06.568,NULL,NULL,NULL
31,2021-05-05T23:20:16.802,NULL,NULL,NULL
32,2021-05-05T23:20:29.940,NULL,NULL,NULL
