,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-05-01T17:05:23.669,NULL,NULL
1,NULL,2021-05-01T17:05:24.929,NULL,NULL
2,NULL,2021-05-01T17:05:26.196,NULL,NULL
3,NULL,2021-05-01T17:05:27.459,NULL,NULL
4,NULL,2021-05-01T17:05:28.713,NULL,NULL
5,NULL,2021-05-01T17:05:29.964,NULL,NULL
6,NULL,2021-05-01T17:05:31.213,NULL,NULL
7,NULL,2021-05-01T17:05:32.398,NULL,NULL
8,NULL,2021-05-01T17:05:33.654,NULL,NULL
9,NULL,2021-05-01T17:05:34.905,NULL,NULL
10,NULL,2021-05-01T17:05:36.158,NULL,NULL
11,NULL,2021-05-01T17:05:37.412,NULL,NULL
12,NULL,2021-05-01T17:05:38.666,NULL,NULL
13,NULL,2021-05-01T17:05:39.928,NULL,NULL
14,NULL,2021-05-01T17:05:41.187,NULL,NULL
15,NULL,2021-05-01T17:05:42.430,NULL,NULL
16,NULL,2021-05-01T17:05:43.670,NULL,NULL
17,NULL,2021-05-01T17:05:44.924,NULL,NULL
18,NULL,2021-05-01T17:05:46.188,NULL,NULL
19,NULL,2021-05-01T17:05:47.438,NULL,NULL
20,NULL,2021-05-01T17:05:48.695,NULL,NULL
21,NULL,2021-05-01T17:05:49.947,NULL,NULL
22,NULL,2021-05-01T17:05:51.200,NULL,NULL
23,NULL,2021-05-01T17:05:52.452,NULL,NULL
24,NULL,2021-05-01T17:05:53.703,NULL,NULL
25,NULL,2021-05-01T17:05:54.956,NULL,NULL
26,NULL,2021-05-01T17:05:56.208,NULL,NULL
27,NULL,2021-05-01T17:05:57.476,NULL,NULL
28,NULL,2021-05-01T17:05:58.721,NULL,NULL
29,NULL,2021-05-01T17:05:59.981,NULL,NULL
30,NULL,2021-05-01T17:06:01.228,NULL,NULL
31,NULL,2021-05-01T17:06:02.475,NULL,NULL
32,NULL,2021-05-01T17:06:03.723,NULL,NULL
33,NULL,2021-05-01T17:06:04.976,NULL,NULL
34,NULL,2021-05-01T17:06:06.224,NULL,NULL
35,NULL,2021-05-01T17:06:07.476,NULL,NULL
36,NULL,2021-05-01T17:06:08.728,NULL,NULL
37,NULL,2021-05-01T17:06:09.984,NULL,NULL
38,NULL,2021-05-01T17:06:11.244,NULL,NULL
39,NULL,2021-05-01T17:06:12.500,NULL,NULL
40,NULL,2021-05-01T17:06:13.748,NULL,NULL
41,NULL,2021-05-01T17:06:15.003,NULL,NULL
42,NULL,2021-05-01T17:06:16.258,NULL,NULL
43,NULL,2021-05-01T17:06:17.509,NULL,NULL
44,NULL,2021-05-01T17:06:18.760,NULL,NULL
45,NULL,2021-05-01T17:06:20.013,NULL,NULL
46,NULL,2021-05-01T17:06:21.268,NULL,NULL
47,NULL,2021-05-01T17:06:22.517,NULL,NULL
48,NULL,2021-05-01T17:06:23.770,NULL,NULL
49,NULL,2021-05-01T17:06:25.022,NULL,NULL
50,NULL,2021-05-01T17:06:26.278,NULL,NULL
51,NULL,2021-05-01T17:06:27.528,NULL,NULL
52,NULL,2021-05-01T17:06:28.779,NULL,NULL
53,NULL,2021-05-01T17:06:30.032,NULL,NULL
54,NULL,2021-05-01T17:06:31.296,NULL,NULL
55,NULL,2021-05-01T17:06:32.564,NULL,NULL
56,NULL,2021-05-01T17:06:33.810,NULL,NULL
57,NULL,2021-05-01T17:06:35.077,NULL,NULL
58,NULL,2021-05-01T17:06:36.333,NULL,NULL
59,NULL,2021-05-01T17:06:37.583,NULL,NULL
60,NULL,2021-05-01T17:06:38.832,NULL,NULL
61,NULL,2021-05-01T17:06:40.086,NULL,NULL
62,NULL,2021-05-01T17:06:41.341,NULL,NULL
63,NULL,2021-05-01T17:06:42.592,NULL,NULL
64,NULL,2021-05-01T17:06:43.859,NULL,NULL
65,NULL,2021-05-01T17:06:45.108,NULL,NULL
66,B8:27:EB:CC:AA:D5,2021-05-01T17:06:46.368,52,-89
67,B8:27:EB:CC:AA:D5,2021-05-01T17:06:47.632,52,-90
68,B8:27:EB:CC:AA:D5,2021-05-01T17:06:48.889,39,-90
69,B8:27:EB:CC:AA:D5,2021-05-01T17:06:50.169,39,-90
70,B8:27:EB:CC:AA:D5,2021-05-01T17:06:51.431,26,-90
71,B8:27:EB:CC:AA:D5,2021-05-01T17:06:52.682,19.5,-86
72,B8:27:EB:CC:AA:D5,2021-05-01T17:06:53.945,12,-84
73,B8:27:EB:CC:AA:D5,2021-05-01T17:06:55.203,19.5,-85
74,B8:27:EB:CC:AA:D5,2021-05-01T17:06:56.463,12,-85
75,B8:27:EB:CC:AA:D5,2021-05-01T17:06:57.718,19.5,-81
76,B8:27:EB:CC:AA:D5,2021-05-01T17:06:58.973,19.5,-81
77,B8:27:EB:CC:AA:D5,2021-05-01T17:07:00.245,21.6,-79
78,B8:27:EB:CC:AA:D5,2021-05-01T17:07:01.505,12,-79
79,B8:27:EB:CC:AA:D5,2021-05-01T17:07:02.763,12,-79
80,B8:27:EB:CC:AA:D5,2021-05-01T17:07:04.019,12,-79
81,B8:27:EB:CC:AA:D5,2021-05-01T17:07:05.285,12,-79
82,B8:27:EB:CC:AA:D5,2021-05-01T17:07:06.540,21.6,-79
83,B8:27:EB:CC:AA:D5,2021-05-01T17:07:07.796,21.6,-79
84,B8:27:EB:CC:AA:D5,2021-05-01T17:07:09.055,12,-79
85,B8:27:EB:CC:AA:D5,2021-05-01T17:07:10.313,12,-79
86,B8:27:EB:CC:AA:D5,2021-05-01T17:07:11.570,21.6,-79
87,B8:27:EB:CC:AA:D5,2021-05-01T17:07:12.829,12,-79
88,B8:27:EB:CC:AA:D5,2021-05-01T17:07:14.085,19.5,-82
89,B8:27:EB:CC:AA:D5,2021-05-01T17:07:15.343,12,-82
90,B8:27:EB:CC:AA:D5,2021-05-01T17:07:16.600,12,-82
91,B8:27:EB:CC:AA:D5,2021-05-01T17:07:17.858,19.5,-82
92,B8:27:EB:CC:AA:D5,2021-05-01T17:07:19.114,12,-82
93,B8:27:EB:CC:AA:D5,2021-05-01T17:07:20.378,12,-82
94,B8:27:EB:CC:AA:D5,2021-05-01T17:07:21.637,12,-82
95,B8:27:EB:CC:AA:D5,2021-05-01T17:07:22.893,12,-82
96,B8:27:EB:CC:AA:D5,2021-05-01T17:07:24.150,19.5,-83
97,B8:27:EB:CC:AA:D5,2021-05-01T17:07:25.404,13,-86
98,B8:27:EB:CC:AA:D5,2021-05-01T17:07:26.663,12,-86
99,B8:27:EB:CC:AA:D5,2021-05-01T17:07:27.918,13,-85
100,B8:27:EB:CC:AA:D5,2021-05-01T17:07:29.175,13,-85
101,B8:27:EB:CC:AA:D5,2021-05-01T17:07:30.433,12,-85
102,B8:27:EB:CC:AA:D5,2021-05-01T17:07:31.693,12,-85
103,B8:27:EB:CC:AA:D5,2021-05-01T17:07:32.948,12,-85
104,B8:27:EB:CC:AA:D5,2021-05-01T17:07:34.208,12,-85
105,B8:27:EB:CC:AA:D5,2021-05-01T17:07:35.478,13,-85
106,B8:27:EB:CC:AA:D5,2021-05-01T17:07:36.734,12,-85
107,B8:27:EB:CC:AA:D5,2021-05-01T17:07:37.989,12,-85
108,B8:27:EB:CC:AA:D5,2021-05-01T17:07:39.259,12,-85
109,B8:27:EB:CC:AA:D5,2021-05-01T17:07:40.759,13,-85
110,B8:27:EB:CC:AA:D5,2021-05-01T17:07:42.024,13,-87
111,B8:27:EB:CC:AA:D5,2021-05-01T17:07:43.289,13,-87
112,B8:27:EB:CC:AA:D5,2021-05-01T17:07:44.545,12,-87
113,B8:27:EB:CC:AA:D5,2021-05-01T17:07:45.893,12,-87
114,B8:27:EB:CC:AA:D5,2021-05-01T17:07:47.156,12,-87
115,B8:27:EB:CC:AA:D5,2021-05-01T17:07:48.430,13,-86
116,B8:27:EB:CC:AA:D5,2021-05-01T17:07:49.695,14.4,-88
117,B8:27:EB:CC:AA:D5,2021-05-01T17:07:50.949,1,-86
