,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-05-01T18:30:11.421,NULL,NULL
1,NULL,2021-05-01T18:30:12.524,NULL,NULL
2,NULL,2021-05-01T18:30:13.622,NULL,NULL
3,NULL,2021-05-01T18:30:14.718,NULL,NULL
4,NULL,2021-05-01T18:30:15.823,NULL,NULL
5,NULL,2021-05-01T18:30:16.923,NULL,NULL
6,NULL,2021-05-01T18:30:18.020,NULL,NULL
7,NULL,2021-05-01T18:30:19.121,NULL,NULL
8,NULL,2021-05-01T18:30:20.252,NULL,NULL
9,NULL,2021-05-01T18:30:21.388,NULL,NULL
10,NULL,2021-05-01T18:30:22.500,NULL,NULL
11,NULL,2021-05-01T18:30:23.606,NULL,NULL
12,NULL,2021-05-01T18:30:24.713,NULL,NULL
13,NULL,2021-05-01T18:30:25.810,NULL,NULL
14,NULL,2021-05-01T18:30:26.910,NULL,NULL
15,NULL,2021-05-01T18:30:28.016,NULL,NULL
16,NULL,2021-05-01T18:30:29.114,NULL,NULL
17,NULL,2021-05-01T18:30:30.210,NULL,NULL
18,NULL,2021-05-01T18:30:31.309,NULL,NULL
19,NULL,2021-05-01T18:30:32.418,NULL,NULL
20,NULL,2021-05-01T18:30:33.518,NULL,NULL
21,NULL,2021-05-01T18:30:34.617,NULL,NULL
22,NULL,2021-05-01T18:30:35.717,NULL,NULL
23,NULL,2021-05-01T18:30:36.817,NULL,NULL
24,NULL,2021-05-01T18:30:37.920,NULL,NULL
25,NULL,2021-05-01T18:30:39.018,NULL,NULL
26,NULL,2021-05-01T18:30:40.116,NULL,NULL
27,NULL,2021-05-01T18:30:41.214,NULL,NULL
28,NULL,2021-05-01T18:30:42.319,NULL,NULL
29,NULL,2021-05-01T18:30:43.428,NULL,NULL
30,NULL,2021-05-01T18:30:44.526,NULL,NULL
31,NULL,2021-05-01T18:30:45.624,NULL,NULL
32,NULL,2021-05-01T18:30:46.722,NULL,NULL
33,NULL,2021-05-01T18:30:47.819,NULL,NULL
34,NULL,2021-05-01T18:30:48.931,NULL,NULL
35,NULL,2021-05-01T18:30:50.029,NULL,NULL
36,NULL,2021-05-01T18:30:51.126,NULL,NULL
37,NULL,2021-05-01T18:30:52.222,NULL,NULL
38,NULL,2021-05-01T18:30:53.320,NULL,NULL
39,NULL,2021-05-01T18:30:54.421,NULL,NULL
40,NULL,2021-05-01T18:30:55.520,NULL,NULL
41,NULL,2021-05-01T18:30:56.617,NULL,NULL
42,NULL,2021-05-01T18:30:57.716,NULL,NULL
43,NULL,2021-05-01T18:30:58.818,NULL,NULL
44,NULL,2021-05-01T18:30:59.933,NULL,NULL
45,NULL,2021-05-01T18:31:01.031,NULL,NULL
46,NULL,2021-05-01T18:31:02.127,NULL,NULL
47,NULL,2021-05-01T18:31:03.223,NULL,NULL
48,NULL,2021-05-01T18:31:04.318,NULL,NULL
49,NULL,2021-05-01T18:31:05.418,NULL,NULL
50,NULL,2021-05-01T18:31:06.518,NULL,NULL
51,NULL,2021-05-01T18:31:07.616,NULL,NULL
52,NULL,2021-05-01T18:31:08.713,NULL,NULL
53,NULL,2021-05-01T18:31:09.812,NULL,NULL
54,NULL,2021-05-01T18:31:10.973,NULL,NULL
55,NULL,2021-05-01T18:31:12.071,NULL,NULL
56,NULL,2021-05-01T18:31:13.169,NULL,NULL
57,NULL,2021-05-01T18:31:14.266,NULL,NULL
58,NULL,2021-05-01T18:31:15.361,NULL,NULL
59,NULL,2021-05-01T18:31:16.458,NULL,NULL
60,NULL,2021-05-01T18:31:17.556,NULL,NULL
61,NULL,2021-05-01T18:31:18.654,NULL,NULL
62,NULL,2021-05-01T18:31:19.750,NULL,NULL
63,NULL,2021-05-01T18:31:20.847,NULL,NULL
64,NULL,2021-05-01T18:31:21.951,NULL,NULL
